,Pre-selection,QCD SF,LP SF,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,BDTScore_JES_up >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9735,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.998
HHbbVV,0.9147081031687907,0.9147081031687907,0.9147081031687907,0.9145866495848747,0.9145155175981409,0.055010031242659685,0.03774916726150006,0.03770776324819503,0.0375116386324391,,,
ggHH_kl_2p45_kt_1_HHbbVV,0.6688447704532685,0.6688447704532685,0.6688447704532685,0.6687396247885888,0.6687104037350293,0.039748484157520435,0.027319480515145662,0.027284156649527595,0.02714257186713482,,,
ggHH_kl_5_kt_1_HHbbVV,0.6956895087373941,0.6956895087373941,0.6956895087373941,0.6956342370058112,0.6956173642658675,0.028889457448528694,0.020165086229291328,0.020165086229291328,0.02003078630288833,,,
ggHH_kl_0_kt_1_HHbbVV,1.1944766869755938,1.1944766869755938,1.1944766869755938,1.1943528822540315,1.1942766748528373,0.07150348340475726,0.051181635987167295,0.051033649090404906,0.05080388889917066,,,
VBFHHbbVV,0.017115373482989717,0.017115373482989717,0.017115373482989717,0.017115373482989717,0.017108694186479038,0.0007074000484930626,0.0005147212825221958,0.0005147212825221958,0.0005110430161869858,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.060969753010587,9.060422891390717,9.060189851549257,0.7627696388417364,0.5763342738259084,0.5754191903021258,0.5730663861824377,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269096111629358,15.269096111629358,15.269096111629358,15.268498694962206,15.267919985216187,1.27321959072882,0.96343725474944,0.961239650999187,0.9569391453176112,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0173959132140592,0.0173959132140592,0.0173959132140592,0.017392009819169624,0.017391553707081148,0.000429695746754967,0.0002653007415606287,0.00026116689832351753,0.00026015359809106946,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138882127595444,8.138882127595444,8.138882127595444,8.138437322164155,8.138179841158967,0.704458319183613,0.5347100133252917,0.5337773820180469,0.5315447686919476,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04617824244896124,0.04617824244896124,0.04617824244896124,0.04617824244896124,0.046172661222857174,0.002956673884243118,0.002181314987829165,0.002181314987829165,0.002175471916439213,,,
QCD,717986.216814939,970717.8146709627,970717.8146709627,970597.285843478,970482.3004887875,28.987473683008364,0.5639335232714174,0.5639335232714174,0.5639335232714174,,,
TT,63126.80979180276,63126.80979180276,63126.80979180276,63116.826564698415,63107.18599108666,10.020033631104212,1.8588599452263137,1.7763564221890193,1.702521770663708,,,
ST,5417.824558008516,5417.824558008516,5417.824558008516,5417.184318734426,5416.5525968038955,1.0442964454786612,0.30245845618708966,0.30245845618708966,0.30245845618708966,,,
W+Jets,9487.889178263631,9487.889178263631,9487.889178263631,9487.064804758824,9486.32235540528,2.8448328429782377,0.8188762732166077,0.8188762732166077,0.8188762732166077,,,
Z+Jets,12055.822300436781,12055.822300436781,12055.822300436781,12054.071026015921,12053.005237267775,1.479759120199613,0.5590427501774603,0.5590427501774603,0.5590427501774603,,,
Diboson,544.751536187187,544.751536187187,544.751536187187,544.751536187187,544.751536187187,0.0,0.0,0.0,0.0,,,
ggFHbb,120.74204174793252,120.74204174793252,120.74204174793252,120.71963054554595,120.71963054554595,0.0,0.0,0.0,0.0,,,
VBFHbb,32.24173303425971,32.24173303425971,32.24173303425971,32.23831123818383,32.23831123818383,0.0,0.0,0.0,0.0,,,
ZHbb,32.70020301080715,32.70020301080715,32.70020301080715,32.696277043463795,32.696277043463795,0.0017282926164173262,0.0017282926164173262,0.0017282926164173262,0.0017282926164173262,,,
WHbb,56.014320595270185,56.014320595270185,56.014320595270185,56.00371732736636,56.00176596226789,0.003848659982713948,0.0022453400485931245,0.0022453400485931245,0.0022453400485931245,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.8805631912185055,4.879327906819619,4.87917304753225,0.00040401257297512083,0.0,0.0,0.0,,,
ttHbb,156.94119216557863,156.94119216557863,156.94119216557863,156.92518417388314,156.89562337944528,0.029634331011348786,0.013733853360978154,0.013733853360978154,0.013617518813480958,,,
HWW,80.56791059341468,80.56791059341468,80.56791059341468,80.56035519769166,80.54779884286333,0.5536222115569918,0.18868296430404569,0.18213107196205908,0.17330358804110188,,,
Data,1061835.0,1061835.0,1061835.0,,,,18.0,18.0,17.0,1061835.0,1061835.0,103.0
