,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMS_up >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.998
HHbbVV,1.676130328580837,1.676130328580837,1.676130328580837,1.6712036429905937,1.6670538167650584,0.13471301028619168,0.09433439362093066,0.09418726840051793,0.0937395028298499,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.264909243644536,1.2618467256927668,1.2597105355923204,0.09961419447207893,0.06908799146907409,0.06899011471807026,0.06867859873722952,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3326632776423553,1.3290754531862934,1.326456633520162,0.07249502282861198,0.0493174657501472,0.04921763543513474,0.048924578697035745,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1462080925701774,2.1397217826630057,2.134657892688486,0.1665294692190868,0.11517134229985194,0.11490434288403548,0.11419190440346165,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.034024377674540085,0.03392488917746438,0.03385106547434957,0.0018789633273099925,0.0014083581152378845,0.0014025487563796139,0.00139786054068628,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.76198779204722,20.740910849479715,20.727007927656505,2.1599543762717133,1.6393473032421797,1.6363701811743379,1.6308951269031537,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.78860657736119,34.750944180981556,34.72689350102866,3.634535645847273,2.7837020422182075,2.7788013560764364,2.7683596618696797,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.03499528349928152,0.034883938631222695,0.034828787476897716,0.0011229643688769795,0.0007858184802497279,0.0007856770849618808,0.0007770471145135583,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.901746176077005,18.88325592507293,18.87195683641766,2.0146004361191414,1.535035994324284,1.5325893330929963,1.526573202836308,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08890353276162892,0.08863948905629107,0.08838388941581067,0.00705349333602919,0.005075372113685585,0.005061752043139916,0.005033869498403172,
QCD,1117757.9198795073,1146810.7163518853,1146810.7163518853,1143003.1288380893,1140195.6701715398,87.51560740388675,15.704766178327606,15.704766178327606,15.704766178327606,
TT,114729.52068857195,114729.52068857195,114729.52068857195,114375.90267312861,114019.19131760647,20.18758091738595,3.08333450182719,2.6717996281642504,2.660535490074433,
ST,9991.097357360093,9991.097357360093,9991.097357360093,9956.444147193402,9930.244963807756,2.7032260037949785,0.8876531077700623,0.8876531077700623,0.8876531077700623,
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14672.491652608198,14641.631954844934,6.257873063662533,1.4082456396302498,1.4082456396302498,1.4082456396302498,
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21522.694272012075,21479.126831498128,4.0144137494978915,1.999249403798543,1.999249403798543,1.999249403798543,
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,932.3120773317856,930.6761200627391,0.28001420954562,0.0,0.0,0.0,
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,224.09132954605533,223.5656191986538,0.0,0.0,0.0,0.0,
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.16198883813554,66.0249915252132,0.0,0.0,0.0,0.0,
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.322797344840964,63.235634550720064,0.017507967700661563,0.009905599635302666,0.009905599635302666,0.009905599635302666,
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.63886528171966,108.52664862322723,0.02294347314670062,0.016860746288100623,0.016860746288100623,0.016860746288100623,
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.483212575914823,9.46312346044892,0.0007379976097465021,0.0007379976097465021,0.0007379976097465021,0.0007379976097465021,
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,311.1744105719533,310.21793216817366,0.09216962362713925,0.036958633172860515,0.036958633172860515,0.036958633172860515,
HWW,150.72907678953348,150.72907678953348,150.72907678953348,150.22850888691733,149.66583899443282,1.2049875144103295,0.3693715130715494,0.36805870853940476,0.35084406746911867,
Data,1309711.0,1309711.0,1309711.0,1309711.0,1309711.0,,42.0,41.0,39.0,197.0
