,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMR_down >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9734,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.998
HHbbVV,1.706591057896172,1.706591057896172,1.706591057896172,1.7015566173379557,1.6972136772823412,0.14999095392924766,0.10280163742789142,0.10265802327105115,0.10221212791326549,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.3238501132828857,1.320268693885609,1.317661563936538,0.11276509469057167,0.07671756601734214,0.07666224712386249,0.07636253034444122,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4540657446775804,1.4509117411902488,1.4474730227963224,0.08761383364758073,0.06046210989973455,0.06033964211433396,0.06016538160178203,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1525536887480916,2.1452512033910387,2.140229256085729,0.17939239757188286,0.12018298297734845,0.11998041983427832,0.11938663955309067,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.03938444220488589,0.0392446647475824,0.0391236948975489,0.0025628173743272,0.001767747356577276,0.001767747356577276,0.001764790721294813,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.803125191164327,25.774035901931246,25.75627430229965,2.864701309750525,2.176433455574025,2.173307179233043,2.1665703037010924,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.97286862414579,42.92006974864868,42.88501620424844,4.7123621515236795,3.5742772082847276,3.567037910133459,3.5520724037932307,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04105557177629756,0.04090476204464955,0.0407915993104881,0.0016060964640896812,0.0011314831330937422,0.0011283986775317383,0.0011273010077325124,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.628855946473465,23.603086216191194,23.587709054991066,2.6242014866403367,1.9900223717896268,1.9860551928711552,1.9787447976059855,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.10023448588249756,0.09991840064110012,0.0996159467238734,0.00899984630486271,0.006561971107069258,0.006548760347533224,0.006495429060847054,
QCD,1126208.5372077704,1203074.9790546377,1203074.9790546377,1198693.5785187539,1195444.796068065,43.66968874413692,13.245497621829513,13.245497621829513,13.245497621829513,
TT,126178.01663528237,126178.01663528237,126178.01663528237,125736.76451680924,125277.36730359304,29.41433925436159,5.7717982922989775,4.97126163796738,4.286421792462857,
ST,11213.018738828063,11213.018738828063,11213.018738828063,11169.638460634647,11140.701326371089,3.1708124929549526,0.46045168525185304,0.46045168525185304,0.46045168525185304,
W+Jets,15930.077126498532,15930.077126498532,15930.077126498532,15879.105249841276,15839.028146450515,7.169936882371078,2.1145066069490333,2.1145066069490333,2.1145066069490333,
Z+Jets,22772.15825578505,22772.15825578505,22772.15825578505,22686.559702053375,22632.448203335458,3.9355525133165106,1.6732102210475408,1.6732102210475408,1.6732102210475408,
Diboson,1008.665041486354,1008.665041486354,1008.665041486354,1005.7273485190779,1002.5646524206695,0.0,0.0,0.0,0.0,
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,222.70977922577623,221.84267517383097,0.033456804525291706,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903,
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,71.07985098566151,70.91620020246836,0.0,0.0,0.0,0.0,
ZHbb,67.12062616739404,67.12062616739404,67.12062616739404,66.94564806851947,66.83746928536593,0.003569295632512806,0.00387733279537056,0.00387733279537056,0.00387733279537056,
WHbb,116.35029311753367,116.35029311753367,116.35029311753367,116.05038178984395,115.9228032874135,0.029523123538520903,0.01898786481171539,0.01898786481171539,0.01898786481171539,
ggZHbb,10.311005316400479,10.311005316400479,10.311005316400479,10.281565783116413,10.257879490979624,0.00227120491877199,0.002106079616402308,0.002106079616402308,0.002106079616402308,
ttHbb,354.83801865944884,354.83801865944884,354.83801865944884,353.44976648602244,352.0183047201511,0.08759771719968167,0.028415965122558152,0.026338757968513003,0.02248222154680807,
HWW,172.07437391871363,172.07437391871363,172.07437391871363,171.42603695737873,170.6479795943025,1.6510808666105636,0.4206931766544234,0.4020215742267858,0.3889374413176322,
Data,1381192.0,1381192.0,1381192.0,1381192.0,1381192.0,,37.0,35.0,34.0,212.0
