,SF,syst_unc,stat_unc,sj_pt_unc,sj_matching_unc
HHbbVV,1.05 ± 0.22,0.14843108416232018,0.053019131649473916,0.0010085470364594865,0.13252375382215928
ggHH_kl_2p45_kt_1_HHbbVV,1.06 ± 0.25,0.18735041753780277,0.052945755319021466,0.0009981043594021765,0.13083184703430797
ggHH_kl_5_kt_1_HHbbVV,1.05 ± 0.48,0.4358969734531491,0.05606305915035056,0.0026265042252607744,0.13319580105534973
ggHH_kl_0_kt_1_HHbbVV,1.06 ± 0.27,0.21166229055381605,0.047897725123521605,0.001245194942049855,0.12830776072937514
VBFHHbbVV,1.15 ± 0.43,0.34459587065675773,0.06462566095757939,0.002342765071195787,0.12774167343623072
qqHH_CV_1_C2V_0_kl_1_HHbbVV,1.03 ± 0.15,0.021080005654748293,0.061028709004741,0.0022022475788392283,0.12739943706218657
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,1.04 ± 0.15,0.03333681888420414,0.061075964263504486,0.0026326462419378363,0.12900804289544235
qqHH_CV_1_C2V_1_kl_2_HHbbVV,1.09 ± 0.61,0.5425220650390423,0.06540693579657265,0.0033412715205596395,0.12878787878787878
qqHH_CV_1_C2V_2_kl_1_HHbbVV,1.04 ± 0.15,0.03003585406110527,0.06059406746841113,0.0023549732322144727,0.12917004099415536
qqHH_CV_1_C2V_1_kl_0_HHbbVV,1.11 ± 0.32,0.26011607833128364,0.05965950051543285,0.0026538695663392126,0.11768353174603176
