,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.295973733596218,12.27299924015545,12.267258609940066,1.602870062458545,0.7760142377200111,0.39457370770799943,0.3937137913286264,0.39052934089973895,,,
QCD,717986.2168149389,956785.8146709631,714183.7122934387,615968.1702424847,534236.9358198404,131684.24995544206,121569.47928501769,118297.59724209111,118155.03654996237,117704.65144336183,,,
TT,63126.80979180278,63126.80979180278,51552.40658402823,43559.983542841306,39844.97146424679,10893.997583555592,10174.78380157764,9708.787172860591,8626.540519417022,7769.968437035907,,,
ST,5417.824558008515,5417.824558008515,4361.068752752759,3819.871731622292,3521.855697590972,950.5356886879031,881.7437827426126,836.719458538808,769.6221975538672,699.9449822001928,,,
W+Jets,9487.889178263631,9487.889178263631,7663.693473168243,6730.642393715154,6069.305766287863,1626.7575451526625,1507.8771691996126,1433.1913921295848,1429.3488972149553,1425.205819512204,,,
Z+Jets,12055.822300436781,12055.822300436781,9496.976194397968,8352.866691231726,7497.505824419099,3478.2449703942143,2307.495079995733,2228.5834452494264,2223.7251548930703,2213.9994653556178,,,
Diboson,544.751536187187,544.751536187187,440.36621517608273,397.1988602913971,356.2708525687135,147.017901510146,97.20794292334348,92.72843411165825,88.01704640499702,83.79510248368096,,,
ggFHbb,120.74204174793252,120.74204174793252,97.39743646948253,82.01494622632748,71.89749297075578,11.15646868465307,7.493985678445744,7.419667452606754,7.419667452606754,7.388867846528397,,,
VBFHbb,32.24173303425971,32.24173303425971,26.59309169750412,23.388254219990884,21.445052520144394,3.1263663444569145,1.7740150741138132,1.7457604894789298,1.7371084115362838,1.7371084115362838,,,
ZHbb,32.70020301080715,32.70020301080715,26.319653747722505,23.831891324818347,21.340808960221036,4.637342037053802,2.3298859182380744,2.237074938514777,2.231332712590782,2.20541327672078,,,
WHbb,56.014320595270185,56.014320595270185,44.859328399588755,41.31579435840018,37.07425829551195,5.58387080763151,3.5224542045886293,3.306752201669953,3.3031158388408706,3.2808565351941352,,,
ggZHbb,4.8805631912185055,4.8805631912185055,3.9494503683419864,3.4627537223512252,3.1662752209215874,0.7448473300411254,0.4798925539163101,0.46571669337848653,0.4637530070428314,0.45825796543429187,,,
ttHbb,156.9411921655786,156.9411921655786,130.92692083412456,111.777819996592,105.38411473235499,24.543362110858272,20.82532685685137,20.041606925172843,17.588247152817225,15.448972781079092,,,
HWW,80.56791059341468,80.56791059341468,67.37046338332074,56.03193342889442,52.46517561431856,14.08324631495704,12.726482458978676,11.067039356222782,8.963566247897402,7.486278548788414,,,
Data,1047903.0,1047903.0,,,,138048.0,128181.0,122390.0,120795.0,119231.0,786824.0,657428.0,558947.0
