,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,10.156210727247592,3.804220078632752,1.9616947686112722,1.9581472257993358,1.9496734416248185
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,135349.43458717986,124113.68660914074,120559.1436641416,120228.71158324677,119717.01604925081
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,11181.649456106159,10435.50452159245,9968.642391543632,8631.530162004372,7786.94999528644
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,964.3217141516561,891.7134967232964,848.1729057413881,760.259436857363,689.4868156259885
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1005.4440813750452,943.8981537691758,882.1349914315933,879.8936067094492,877.1974909458096
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,1504.0060933968462,1246.926020633856,1196.9273290257784,1193.6530307303788,1186.0077873398366
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,44.83130201545105,35.964336601227785,34.26110519826875,32.37713026708528,31.10829365699584
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,57.96530279859477,27.86261645458255,27.287585891449964,27.249355754894008,27.125298449911273
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,17.450531780588292,7.873443937084398,7.644455985584738,7.623897346705647,7.577799806000016
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,14.847359704221534,7.099459733332458,6.763990862721958,6.749055916815605,6.704718756031086
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,28.859477367530904,14.124094995010962,13.236568979824265,13.199997574793082,13.117017683738272
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,1.810911870599274,0.977023556140064,0.9385603352471525,0.9367904866567867,0.9291712979999842
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,40.61223164036895,28.057857220233323,26.865249482690157,23.340031915354437,20.264188388513983
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,13.986000379037375,13.073272128528437,11.667630816472222,9.396745072349358,7.8077998226220995
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,136157.0,126862.0,121125.0,119155.0,117541.0
