,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.300274725995397,12.281154891719957,12.276868807274052,1.6047118193881627,0.8274933013546381,0.42146601206474776,0.4210554459921874,0.41986821130363183,,,
QCD,717986.2168149389,956785.8146709631,741150.9007846708,648461.7295631297,564755.7159330244,138986.6544241415,10706.991802688028,219.6839960276348,219.6839960276348,219.6839960276348,,,
TT,63126.80979180278,63126.80979180278,52873.43599416053,45464.34440566228,41848.55973803143,11518.358812186654,755.7219999102414,30.836956914932642,28.527180021792798,27.397959566920168,,,
ST,5417.824558008515,5417.824558008515,4471.8520624987905,3968.542857094534,3681.113886809768,998.4065982425169,72.48617778972658,5.430890973727626,5.108387807547059,4.967558662453652,,,
W+Jets,9487.889178263631,9487.889178263631,7884.872727254259,7004.596697508541,6353.021859276834,1703.2191976142935,123.34381253276875,5.609401725112653,5.609401725112653,5.609401725112653,,,
Z+Jets,12055.822300436781,12055.822300436781,9793.303260964854,8714.952250749071,7865.97852737521,3658.54814601042,1228.6782787931525,40.80213917763486,40.554196538911086,40.42583686204646,,,
Diboson,544.751536187187,544.751536187187,452.58986876008356,412.6329832891736,373.40818360617834,154.97723539040857,51.89403898165378,2.3825327653167694,2.294798776463474,2.294798776463474,,,
ggFHbb,120.74204174793252,120.74204174793252,100.37286639508696,86.1090233477592,76.33069062815309,11.945256138001437,3.9407715212949532,0.0721283268551066,0.0721283268551066,0.0721283268551066,,,
VBFHbb,32.24173303425971,32.24173303425971,27.351631117018236,24.381483770328988,22.380544292889894,3.2800564102713397,1.3987517691262459,0.029966462544892686,0.029966462544892686,0.029966462544892686,,,
ZHbb,32.70020301080715,32.70020301080715,27.130351521381897,24.82507826924223,22.333952519764,4.859880394266536,2.429247957119614,0.07084532770555674,0.07084532770555674,0.06986626988813452,,,
WHbb,56.014320595270185,56.014320595270185,46.23189292940414,42.91435748045733,38.79438753797529,5.901366485161554,2.1862090624553736,0.15211312635993665,0.15211312635993665,0.14852118444173434,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.056299477621234,3.605601612801594,3.3144790531608406,0.7803752844134303,0.27960589332546615,0.006580725545800656,0.006580725545800656,0.006580725545800656,,,
ttHbb,156.9411921655786,156.9411921655786,133.76469553301519,116.11617041575103,109.8469165023967,25.721138579372525,3.8432513501111285,0.16509317548606894,0.15260885597676097,0.13770110640479047,,,
HWW,80.56791059341468,80.56791059341468,68.74974369475333,58.34478898456673,54.78950148537358,14.784678658135432,1.4167118243406185,0.28276540661286564,0.2741967563151321,0.2655840625155378,,,
Data,1047903.0,1047903.0,,,,138048.0,9867.0,460.0,457.0,454.0,786824.0,657428.0,558947.0
