,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMR_down < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMR_down < 170.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,1.500122612850495,0.7662701675010826,0.3917323159134824,0.391246826322047,0.38992983590685104,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,135246.56443984888,10413.200834104397,212.306649525665,212.306649525665,212.306649525665,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,11102.788557868633,730.1677679660932,29.247386973697644,27.139128093915197,25.965000402483923,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,969.3182275653712,68.06855795936039,5.384863224207515,5.062360058026947,4.780701767840135,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1647.6971816317255,122.5512806340391,6.260446466605953,6.260446466605953,6.260446466605953,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,3638.5661669359915,1231.019876922797,39.730538101493835,39.48259546277008,39.354235785905445,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,155.0841612941906,53.672427667997354,2.3223958501692508,2.2346618613159546,2.2346618613159546,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,10.294748381696339,3.2998928597113046,0.056876819568211834,0.056876819568211834,0.056876819568211834,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,2.953921106735963,1.2579810223310022,0.029966462544892686,0.029966462544892686,0.029966462544892686,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,4.6442636419701975,2.29434670282241,0.0750437227543513,0.0750437227543513,0.0740646649369291,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,5.456263804730292,1.968678017763097,0.14327302952314375,0.14327302952314375,0.14104472548334124,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,0.7532948563634475,0.27368597722319166,0.006065265411864031,0.006065265411864031,0.006065265411864031,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,24.941488083916987,3.6497890336929366,0.13489698041637702,0.12335920516692729,0.1104630752805343,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,14.429211278968378,1.4008274345300864,0.27735996451674005,0.270245888125178,0.2672842770316889,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,9867.0,460.0,457.0,454.0,138048.0
