,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMR_up < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMR_up < 170.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,2.0850365792459202,1.1358460119817866,0.5738728342717503,0.5734592310631936,0.5717482417628081,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,134445.9258789395,10472.64587062575,250.01479997341755,250.01479997341755,250.01479997341755,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,11424.691994911003,775.3039955392001,33.04390083657805,30.762046768384238,29.688396541745448,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,1001.9158188221504,74.96230633853632,4.753528913176803,4.431025746996235,4.290196601902829,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1693.8617544020149,119.50094442106277,5.4380666265127475,5.4380666265127475,5.4380666265127475,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,3285.0793288172827,1081.3389085663375,36.32790356106673,36.07996092234296,35.95160124547833,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,147.66795933814814,45.565057114349464,2.3698184595693386,2.2820844707160424,2.2820844707160424,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,14.600725150276567,5.71100974922492,0.11707572515591602,0.11707572515591602,0.11707572515591602,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,4.176584489135026,1.8565999022335866,0.06470771879882717,0.06470771879882717,0.06470771879882717,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,5.232182456264819,2.6146140107653264,0.07800396044508412,0.07800396044508412,0.07702490262766191,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,7.322213247933963,3.0121575435348085,0.22279549887662836,0.22279549887662836,0.21832499729878474,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,0.7991349270496839,0.2952717011400148,0.007851665117759454,0.007851665117759454,0.007851665117759454,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,26.15210873730375,4.3361080258319165,0.17775606640415412,0.15976295963008422,0.145567987946719,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,14.668628324728727,1.3515569887405656,0.2860382536171281,0.27804095236719306,0.269686948993147,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,9867.0,460.0,457.0,454.0,138048.0
