,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.300274725995397,12.281154891719957,12.276868807274052,10.15913403573964,6.352746114410966,3.2232358495527964,3.220022649739806,3.211176392710765,,,
QCD,717986.2168149389,956785.8146709631,741150.9007846708,648461.7295631297,564755.7159330244,139410.95364741562,11595.904907461825,402.7816379027681,402.7816379027681,402.7816379027681,,,
TT,63126.80979180278,63126.80979180278,52873.43599416053,45464.34440566228,41848.55973803143,11547.019389366389,769.7079338802512,31.2268711723639,27.700669064271818,26.916898066251704,,,
ST,5417.824558008515,5417.824558008515,4471.8520624987905,3968.542857094534,3681.113886809768,992.6775526388268,74.37652957689215,3.3794145767628136,3.122916049460451,2.9856961880765476,,,
W+Jets,9487.889178263631,9487.889178263631,7884.872727254259,7004.596697508541,6353.021859276834,1036.5361424663106,62.98653664244772,5.633178049187088,5.633178049187088,5.633178049187088,,,
Z+Jets,12055.822300436781,12055.822300436781,9793.303260964854,8714.952250749071,7865.97852737521,1541.4356675893268,265.2838595655792,8.647614084468028,8.647614084468028,8.647614084468028,,,
Diboson,544.751536187187,544.751536187187,452.58986876008356,412.6329832891736,373.40818360617834,45.177726671385315,8.949431744384741,0.0817828490005958,0.0817828490005958,0.0817828490005958,,,
ggFHbb,120.74204174793252,120.74204174793252,100.37286639508696,86.1090233477592,76.33069062815309,59.69054334263783,30.881202635634526,0.7566098625968669,0.7566098625968669,0.7566098625968669,,,
VBFHbb,32.24173303425971,32.24173303425971,27.351631117018236,24.381483770328988,22.380544292889894,17.846955574046106,9.740008785676938,0.23262997982437306,0.23262997982437306,0.23262997982437306,,,
ZHbb,32.70020301080715,32.70020301080715,27.130351521381897,24.82507826924223,22.333952519764,15.150532344947099,7.90765523320076,0.42445600279382717,0.42445600279382717,0.42445600279382717,,,
WHbb,56.014320595270185,56.014320595270185,46.23189292940414,42.91435748045733,38.79438753797529,29.496980319312694,15.049833969649605,1.1064796393493603,1.105195530766172,1.098692986494925,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.056299477621234,3.605601612801594,3.3144790531608406,1.8599796254545644,0.8578127191364153,0.032576404850219676,0.032576404850219676,0.032051547501255266,,,
ttHbb,156.9411921655786,156.9411921655786,133.76469553301519,116.11617041575103,109.8469165023967,41.63551758575759,12.84299831242412,0.5346010426044212,0.5052994422833311,0.4518915407769148,,,
HWW,80.56791059341468,80.56791059341468,68.74974369475333,58.34478898456673,54.78950148537358,14.382270506584032,0.9379173628357897,0.14100378727058588,0.1332101207102794,0.12637030762354523,,,
Data,1047903.0,1047903.0,,,,136157.0,9295.0,421.0,418.0,412.0,786824.0,657428.0,558947.0
