,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMR_down < 150.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,10.270389400543737,6.419846278909415,3.256273601868283,3.253135325574168,3.244418824271766,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,135509.33658674182,11272.146437941763,395.15762509679,395.15762509679,395.15762509679,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,11168.752742609791,744.5442486195354,30.672985192908687,26.98770567654322,26.225940510488286,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,959.2867497943514,73.96771109377153,3.4090032346521317,3.152504707349769,3.015284845965865,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1003.5379498865291,60.04014178339437,4.939785488154196,4.939785488154196,4.939785488154196,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,1477.177562387115,244.1082279719867,9.078767682519796,9.078767682519796,9.078767682519796,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,43.83835408854635,8.273799159304392,0.0817828490005958,0.0817828490005958,0.0817828490005958,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,59.16921652555175,30.719884078997723,0.7718613698837615,0.7718613698837615,0.7718613698837615,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,17.6780121103407,9.651336418437683,0.23262997982437306,0.23262997982437306,0.23262997982437306,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,15.046767047753347,7.886991386386091,0.4155030439409806,0.4155030439409806,0.4155030439409806,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,29.170672053023342,14.908038161897432,1.0957122566192372,1.0944281480360487,1.0865619658864019,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,1.827596138391445,0.8370335677608047,0.03263379330501333,0.03263379330501333,0.03210893595604891,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,40.83067845566455,12.70692149058377,0.5349909235424325,0.5063428791845109,0.45092335799251704,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,13.931673359625535,0.8939316536305256,0.135558085420797,0.13032281398985887,0.12240292253200008,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,9295.0,421.0,418.0,412.0,136157.0
