,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.661712998978118,14.629831302332667,14.622636637998827,1.9683476759211136,0.9414123774638217,0.4936469131777733,0.4929466156225909,0.4897633229652714,,,
QCD,900603.3727572492,1219440.080463653,891144.3378915427,764515.4088506277,658590.7999698566,162436.4767972718,150083.56809787994,145838.4007730587,145553.27651732115,144982.91303395596,,,
TT,76537.02908224257,76537.02908224257,61643.520317374954,51767.87640926163,47197.359772505464,13091.616742047296,12177.278654268204,11590.196692782447,10348.904878043482,9333.759311128373,,,
ST,6617.229257123121,6617.229257123121,5254.474629159514,4567.45379632109,4212.315486083902,1138.1349521931936,1048.5590206846668,999.5464235059974,919.5623307258174,841.2709593429589,,,
W+Jets,12421.273275458932,12421.273275458932,9930.27957124093,8684.147747290066,7810.028753295391,2075.48625451895,1919.6110655683967,1819.5792202047335,1814.547665352556,1809.8113479407004,,,
Z+Jets,14717.02364266734,14717.02364266734,11404.377278988306,10029.32608423193,8997.609991526173,4100.290748008606,2710.8675759530743,2621.780088874484,2615.216135843516,2605.4811404360516,,,
Diboson,703.6912877316817,703.6912877316817,553.9712694893171,496.4903193427446,447.9709035533566,202.73114805196778,135.69942564301257,128.61273947548963,121.2710585722912,115.70767815077498,,,
ggFHbb,138.81856362723408,138.81856362723408,111.0307271374711,92.34764770865891,80.16529532577692,11.349010343624755,7.213866995693392,6.918976743131668,6.918976743131668,6.826928750930836,,,
VBFHbb,40.60062332311162,40.60062332311162,33.17661342310452,29.329301119043762,26.86503656867488,4.036097975637709,2.2566774252567603,2.2059995868799636,2.191843171345747,2.191843171345747,,,
ZHbb,38.56092725636813,38.56092725636813,30.702451413498945,27.749973688582923,24.76634484430791,5.577840894481039,2.817031686579117,2.721879269943284,2.706883435475971,2.692641222509498,,,
WHbb,66.232275837835,66.232275837835,52.34849883589009,48.00923913075064,42.91419728489369,6.605188182131032,4.195654193766065,3.904418354997542,3.891107799532617,3.8664742695602285,,,
ggZHbb,5.921431593700421,5.921431593700421,4.756811358456442,4.149365973253625,3.80139940055146,0.8889372223713262,0.5736687364396855,0.5583606014809626,0.5565528051789943,0.5525135868627036,,,
ttHbb,187.9810602386041,187.9810602386041,155.23529404721012,132.16437705519579,124.11317849265582,29.088991028377784,24.647868461418398,23.592578133524537,20.643102427916713,18.155684124012016,,,
HWW,97.55810924622654,97.55810924622654,80.64195733631051,67.21396952981553,62.96178288060745,17.280150935611534,15.610587975399701,13.546419709915302,11.156245211491624,9.379378306193516,,,
Data,1331012.0,1331012.0,,,,166982.0,154639.0,146669.0,144879.0,143092.0,964614.0,800395.0,681593.0
