,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMR_up < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMR_up < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,2.5423643586577422,1.1502214388260112,0.5983528180390827,0.5972773803073675,0.5938542031517797,
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,164479.80518409572,152276.89411290444,147977.85913037247,147764.8469481987,147192.53483515617,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,13612.926885641926,12629.188600972784,12025.918110167393,10744.910992258641,9683.043462099793,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1194.5890338638121,1100.5480513210537,1049.411862854086,961.0277189267825,882.8409405222855,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,2183.56773074515,2021.3835821589992,1917.6502598544148,1911.9546784799793,1907.2152102685004,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,3897.500354134571,2604.730765640332,2517.7274118562173,2511.3265401466992,2502.0539810995024,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,198.92417868838976,137.42337812771675,130.30313369209898,122.85467193376134,116.87656956454988,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,15.74515811864465,9.50407098482476,9.159046085916701,9.159046085916701,9.072434887822512,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,5.16551995592712,2.7021720561600526,2.611876425347954,2.597720009813737,2.5887516255220686,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,6.206235648937602,3.0741949602700585,2.9685405346673557,2.9522433589964105,2.9292064423959463,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,8.45353328230009,5.088294463848219,4.76421820038256,4.746288071324022,4.714044327860909,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,0.9634404924709277,0.6136191306295465,0.5967429794751534,0.5949351831731853,0.5899347948206068,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,31.00591503480585,25.83394202792758,24.730437701899447,21.668182082079305,18.989885897998278,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,18.01534361079236,16.320391229384967,14.158504869399557,11.727471398144942,9.862237745105581,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,154639.0,146669.0,144879.0,143092.0,166982.0
