,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMS_down < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMS_down < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,1.9788663386558012,0.9456303561307948,0.4963491628187322,0.4956488652635498,0.49246557260623036,
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,167219.02279404455,154466.23218366152,150071.40032700554,149772.74956181878,149204.70461006876,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,13556.195051338813,12610.242144400305,12005.039916911102,10720.103537053545,9658.874127244224,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1165.4656644107345,1072.2621600998584,1023.849246412711,941.1100704582648,860.2441985214867,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,2103.445738769036,1946.0423316168437,1844.8809266663457,1839.7908335914863,1835.0795328126278,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,4192.810218902533,2774.4018947613013,2682.236434009009,2675.5913975125422,2665.3924763915184,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,206.23368208129392,138.63971896333686,131.67121679515117,124.24240574980924,118.60148938028395,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,11.729905188467844,7.5906228624662315,7.295732609904508,7.295732609904508,7.203684617703676,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,4.101125294229223,2.315438450467626,2.2765443380497996,2.262387922515583,2.2534195382239144,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,5.647645904171806,2.8374948152239257,2.739124462456201,2.722458587792933,2.7066641866479046,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,6.738728144590628,4.295821193156679,3.9983108575069104,3.9872078896652092,3.9638920354748164,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,0.9117939912844262,0.5888395495883717,0.5728172609345491,0.5710094646325808,0.56697024631629,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,29.900860645547276,25.37779078038064,24.29140891018131,21.264539631705322,18.694654258584926,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,17.888118441163186,16.171668401510242,14.047189548350927,11.561167752428123,9.721685509537917,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,154639.0,146669.0,144879.0,143092.0,166982.0
