,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMS_up < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMS_up < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,1.9589423611503558,0.9373039181685846,0.49064074859105566,0.48984041517862104,0.48656667299373313,
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,167193.8253432936,154613.93292592416,150228.56383079634,149937.59966356016,149351.61599492747,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,13400.566498545495,12466.302980260347,11868.116261454734,10590.75885693077,9545.65788853383,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1163.998533216089,1070.8774357577613,1022.529663170523,939.4362328653303,859.9847107785359,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,2146.3401181667555,1985.2059040305865,1882.6550627407287,1877.4833026148756,1872.683071277802,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,4219.603526100758,2789.483990577776,2697.1823709762257,2690.5278963333967,2680.4961211963832,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,209.71504302751947,140.2629018933652,133.35733131965375,125.8141371635151,120.02484004961777,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,11.938559360034311,7.626767951856997,7.331877699295273,7.331877699295273,7.239829707094441,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,4.1709271192161665,2.3486683060531015,2.2979904676763043,2.2838340521420877,2.274865667850419,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,5.752828340118172,2.898624095456678,2.7982405611859362,2.7815746865226685,2.76578028537764,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,6.773908461170754,4.32901914143826,4.031550318777079,4.018239763312153,3.9902801230815594,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,0.911472944185344,0.5854545565412281,0.5689953301833053,0.567187533881337,0.5631483155650462,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,29.66443891298714,25.122994119810812,24.04448660136501,21.01748277613395,18.472677360011573,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,17.660371187104403,15.951308626542058,13.848154268141423,11.407446132302262,9.624086301665189,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,154639.0,146669.0,144879.0,143092.0,166982.0
