,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.664085638901748,14.634663743387257,14.627350362876811,12.004841222502192,4.4868165299211356,2.3383292081537674,2.3335567715789147,2.3245168390919746,,,
QCD,900603.3727572492,1219440.080463653,908085.895080607,784694.8847874457,677047.3385499213,163442.14197694667,150999.9247128662,147227.58073186805,146986.2013748756,146424.94054899522,,,
TT,76537.02908224257,76537.02908224257,62434.741959194434,52882.17030068872,48311.13588191261,13375.749959243412,12434.741848544076,11851.82390672444,10276.013702609096,9272.997813845399,,,
ST,6617.229257123121,6617.229257123121,5325.80081734735,4662.396098034393,4303.878792919848,1176.4745881077665,1105.9869182736318,1050.5222660636482,934.3170004653177,864.1500214935968,,,
W+Jets,12421.273275458932,12421.273275458932,10072.646981252461,8868.262811099126,7987.845110575271,1326.2610360247725,1245.2317663881656,1167.167258933472,1164.0958138273822,1160.774009867669,,,
Z+Jets,14717.02364266734,14717.02364266734,11582.919626053845,10251.951497265089,9211.81124412797,1783.2231298392385,1477.9325933058085,1420.9759578597468,1417.431379624172,1408.93882353879,,,
Diboson,703.6912877316817,703.6912877316817,561.8685694857775,505.4898598539595,457.4372745055652,49.387399844669545,38.30810439422011,36.24595098833352,34.401579918780605,33.6607424869605,,,
ggFHbb,138.81856362723408,138.81856362723408,112.60450913156686,94.6259647127805,82.59180901761695,64.61201042717823,31.46640437358186,30.832983021096872,30.709509738629038,30.484351362821037,,,
VBFHbb,40.60062332311162,40.60062332311162,33.60571817128439,29.885803179130086,27.370271594290557,21.69205521453472,9.90069510721679,9.630192713877038,9.59529687383694,9.53998522173128,,,
ZHbb,38.56092725636813,38.56092725636813,31.20122380552654,28.343174998909344,25.34379385329425,16.956530866833422,7.802917914461464,7.382889361272619,7.359289389714585,7.320746392408699,,,
WHbb,66.232275837835,66.232275837835,53.150695822768775,49.02523405513443,43.86600715203423,33.101211584756705,16.008744641021735,14.994632447246891,14.970924314327409,14.904461636899141,,,
ggZHbb,5.921431593700421,5.921431593700421,4.828521517480783,4.240161555487156,3.8908430408571544,2.168695764345542,1.120608845079992,1.0792253315743667,1.0765496657690046,1.0691078686908224,,,
ttHbb,187.9810602386041,187.9810602386041,156.95001725061965,134.6751511736224,126.71882636062018,48.16173052581368,33.155331405931335,31.680204617424334,27.542123162277452,23.897987183412482,,,
HWW,97.55810924622654,97.55810924622654,81.47738527211762,68.47991646678186,64.22643517059532,17.02948090786672,15.829663768059506,14.027720477859003,11.2677869472763,9.444788914051973,,,
Data,1331012.0,1331012.0,,,,162980.0,151563.0,143636.0,141513.0,139793.0,964614.0,800395.0,681593.0
