,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.664260411097093,14.635072220961053,14.627608295073381,12.005378602106381,4.487144500708058,2.338570276341082,2.333797839766229,2.3247579072792894,,,
QCD,900603.3727572492,1219440.080463653,909928.9429965606,785236.0652000139,679205.6226592734,164039.03893121242,151556.9368747499,147773.7767100516,147532.39735305915,146976.70969310045,,,
TT,76537.02908224257,76537.02908224257,62557.36315546046,53000.20343567669,48474.764998012986,13442.925505729354,12498.041619617194,11913.16882844076,10325.121988366613,9312.360471156959,,,
ST,6617.229257123121,6617.229257123121,5335.947878225384,4671.093017370051,4316.329167356108,1178.9260622424645,1107.8615007054339,1052.4294462708535,935.6860535427408,865.2876526098075,,,
W+Jets,12421.273275458932,12421.273275458932,10085.632255578521,8872.840668642282,8000.8098146950315,1327.1676187795465,1246.223088444074,1168.032478530437,1164.961033424347,1161.639229464634,,,
Z+Jets,14717.02364266734,14717.02364266734,11607.577832738309,10264.437247619908,9237.457278939428,1791.2373684117974,1483.52866661044,1426.1494283714294,1422.6048501358546,1414.0198496599598,,,
Diboson,703.6912877316817,703.6912877316817,561.935848304568,505.49172874834346,459.1384749004718,49.65604274613655,38.644618165051725,36.58246475916513,34.73809368961222,33.99725625779211,,,
ggFHbb,138.81856362723408,138.81856362723408,112.79813188249241,94.68291189158188,82.8868055056263,64.8082329093818,31.501632402962507,30.868211050477527,30.74473776800969,30.519579392201692,,,
VBFHbb,40.60062332311162,40.60062332311162,33.71831610558429,29.970272986083934,27.44394612122658,21.73667936516546,9.940110071052288,9.656847911755207,9.621952071715107,9.566640419609449,,,
ZHbb,38.56092725636813,38.56092725636813,31.207671731688173,28.323667474001752,25.372757979720827,16.9925712407193,7.834318940628577,7.41223090616455,7.388630934606514,7.35008793730063,,,
WHbb,66.232275837835,66.232275837835,53.23241685245674,49.03526487505052,43.95718730461949,33.15561656808974,16.046075946579663,15.026574092886213,15.00286595996673,14.936403282538466,,,
ggZHbb,5.921431593700421,5.921431593700421,4.832810364534362,4.242572613666432,3.8970104086368287,2.174754583605312,1.1227369781377914,1.0811296678683595,1.0784540020629971,1.071012204984815,,,
ttHbb,187.9810602386041,187.9810602386041,157.13026669900506,134.917050892509,126.98431520212135,48.302857731089006,33.24615540467176,31.759415546216964,27.59668160033001,23.949598709054833,,,
HWW,97.55810924622654,97.55810924622654,81.60624241757364,68.68589895431575,64.49322604480872,17.12693832892669,15.916224873122513,14.109195616806955,11.327202925126917,9.501080112838032,,,
Data,1331012.0,1331012.0,,,,162980.0,151563.0,143636.0,141513.0,139793.0,964614.0,800395.0,681593.0
