,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMR_down < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,12.133895574033671,4.535962084201273,2.3626766880582597,2.358191635109203,2.3489247749625073,
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,163938.45186621943,151478.3676188349,147680.6260569594,147421.6952020514,146913.79687653237,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,13381.166247511232,12438.262284481621,11857.171944419053,10273.1424592356,9270.262413725775,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1181.936116566063,1111.9980040870764,1054.8677142982515,938.4202065987122,867.7422224410864,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1322.520451671333,1240.8983407887265,1164.949782735639,1161.8196043394682,1158.4525998724241,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,1753.4966149302068,1462.2234500485936,1407.1514820033526,1403.781064847121,1395.1178477247208,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,47.06469612330617,36.89812516334166,35.1512988233925,33.30692775383959,32.68585238375318,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,65.70223568034982,31.881440208187108,31.248018855702124,31.124545573234286,30.886046340744855,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,21.859364069521327,10.067955876102609,9.75944327638858,9.735464746300979,9.680153094195319,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,17.150737252984843,7.880556475601365,7.461244693010529,7.439222078669941,7.4025189196654315,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,33.67519815856028,16.30479100819588,15.25325445143984,15.227338730897136,15.15721817787967,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,2.1814064447260884,1.124634605106435,1.0837863263592546,1.0811106605538927,1.0735500351270584,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,48.467417282124245,33.26439943106916,31.782871429034813,27.609502272000462,23.93865662928372,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,17.061484970925868,15.85498134095376,14.069723509055585,11.242767006405378,9.39859961165333,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,151563.0,143636.0,141513.0,139793.0,162980.0
