,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMR_up < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,11.362169359490279,4.2483243782392135,2.2179773392396194,2.213479118549575,2.2047669855341763,
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,163629.25258556637,151108.77003034268,147265.53200820278,147016.58061244193,146462.54814882585,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,13566.37038132131,12614.262263781462,12018.848490356937,10452.407485987515,9424.837708881834,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1177.591992650595,1105.5284180933625,1048.9983053839135,936.3864380592167,861.6383949686478,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1338.9962306916404,1257.76354584362,1179.3744526848013,1176.331113872996,1172.9834579078329,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,1916.7381607365433,1550.2368364046604,1492.7549156632062,1489.1380017545287,1480.3556237021317,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,59.07441154892312,42.93906325063152,40.96205137601103,38.72143902870615,37.905079540410284,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,60.36878427476091,29.342124973525134,28.74374594278179,28.62027266031395,28.405802607673493,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,20.672500455992875,9.582734590842884,9.32655674141076,9.291660901370662,9.236349249265,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,16.195386129865643,7.49780427903487,7.089076563596322,7.067423778576344,7.036406485661283,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,31.25817902162052,15.14082240810133,14.168431306208763,14.149342746882894,14.089703613892382,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,2.087301993293978,1.082122853823108,1.0418321123848444,1.0391564465794825,1.0322749698599902,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,47.23730423883515,32.91028639924418,31.4510543609005,27.361003839302267,23.77536979932702,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,17.084725832486512,15.888666379822261,14.041177455569938,11.265669503929747,9.458399887004017,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,151563.0,143636.0,141513.0,139793.0,162980.0
