,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMS_down < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,11.992664277873136,4.481975181351487,2.335905932798856,2.331133496224003,2.322093563737063,
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,163760.65550166188,151336.54263043255,147556.77563307623,147315.39627608377,146758.0592292033,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,13470.649386430348,12522.583457142056,11935.994801624582,10350.298815769938,9336.450031404662,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1182.6648081491107,1112.5754841391663,1056.3103088206312,939.6553095918978,868.312756333517,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1324.3117539351074,1244.207374556945,1166.0271560436706,1162.8740438865866,1159.4633093686584,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,1777.091429964004,1475.7475640251514,1419.3426509002309,1415.798072664656,1407.3098899504746,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,48.54392932737743,37.66264945224718,35.6004960463606,33.75612497680769,33.01528754498758,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,64.81013170590313,31.473478577674108,30.840057225189128,30.716583942721286,30.491425566913293,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,21.770505313617704,9.939868951330302,9.644823066074252,9.609927226034152,9.554615573928494,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,17.00794461588676,7.848615089766836,7.430325573151909,7.406725601593875,7.368182604287989,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,33.17836516103084,16.046775152140633,15.02594630833061,15.000030587787903,14.93225023457764,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,2.1747561021423865,1.1256209643252202,1.0839310004141551,1.0812553346087928,1.0738135375306106,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,48.45378915653625,33.3679880390998,31.88465599567538,27.71751173191775,24.05107287697686,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,17.114154335553977,15.912040546408802,14.092578825568424,11.304787251624763,9.477791440343601,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,151563.0,143636.0,141513.0,139793.0,162980.0
