,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMS_up < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,12.016817780874822,4.491586341865767,2.3415008035750025,2.336828402857402,2.327878919898031,
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,164158.7689731341,151651.7227556948,147824.64160374613,147583.26224675367,147032.77124034293,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,13344.969212833685,12406.154285911369,11825.533333691654,10249.697578111398,9247.255527925327,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1172.738300345321,1102.5283931097654,1046.703649546937,930.644730634336,860.3726586547095,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1327.8560895980927,1246.7806411986912,1168.7325207166177,1165.6610756105279,1162.3392716508145,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,1799.5955668599831,1487.864047272508,1430.4897095031129,1426.894928149509,1418.2395994513172,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,49.918490500551854,38.48795460233696,36.42580119645038,34.581430126897466,33.840592695077355,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,64.61095336926263,31.42679525108926,30.793373898604276,30.669900616136438,30.444742240328445,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,21.702596029511863,9.908531636625934,9.625269477328853,9.590373637288753,9.535061985183095,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,16.932579186658106,7.800525150635108,7.384248815523198,7.360648843965164,7.322105846659278,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,33.111224494048216,15.994058338613955,14.976631435840417,14.952923302920937,14.889786735750874,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,2.1697380506050794,1.1213202000102962,1.0799366865046705,1.0772610206993085,1.0698192236211264,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,48.07681182215914,33.078359119235756,31.609290795297493,27.482231028056457,23.847814013365632,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,17.03345854461452,15.825645630732685,14.028786598150843,11.253473417938029,9.429009366814752,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,151563.0,143636.0,141513.0,139793.0,162980.0
