,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.666859179111984,14.639694914964442,14.632642071239111,1.9702830046601267,1.0275760399192384,0.5040896579932533,0.5035849296351054,0.5022302608269441,,,
QCD,900603.3727572492,1219440.080463653,925130.7098052665,804133.2682482771,697193.3904329769,172325.1457287477,13126.900117144254,456.13159058408525,456.13159058408525,445.6471741836693,,,
TT,76537.02908224257,76537.02908224257,63293.829774565675,54070.233788486286,49559.310461325455,13835.496961795932,960.2380134644419,41.01755429856098,38.00244884565835,36.04711770010789,,,
ST,6617.229257123121,6617.229257123121,5398.289445526995,4757.109074073118,4403.390399266753,1194.0475384974395,94.53067330354052,4.598741969922742,4.22700669492851,4.22700669492851,,,
W+Jets,12421.273275458932,12421.273275458932,10220.743366223162,9052.57934642135,8176.198484816143,2174.901996868424,161.60901078909805,10.27161729107902,10.27161729107902,10.27161729107902,,,
Z+Jets,14717.02364266734,14717.02364266734,11782.081301630982,10482.15974538318,9443.621822815534,4311.800655315319,1458.1799697584752,45.46427356765397,45.46427356765397,45.397081819932914,,,
Diboson,703.6912877316817,703.6912877316817,570.169476883156,515.5452934289559,467.26876511247815,211.27313798312974,69.12715574347109,3.3817044009066195,3.2579511110319412,3.2579511110319412,,,
ggFHbb,138.81856362723408,138.81856362723408,114.57698729067809,97.00477625583129,85.48363225138431,12.233642880674353,4.418056615160046,0.06799807793687448,0.06799807793687448,0.06799807793687448,,,
VBFHbb,40.60062332311162,40.60062332311162,34.11696307749374,30.627290695490647,28.201896821218824,4.298507821412317,1.875799954544815,0.05983853733230919,0.05983853733230919,0.05983853733230919,,,
ZHbb,38.56092725636813,38.56092725636813,31.615386008244307,28.86572461009839,25.91321120278385,5.84178865927715,2.8836604437506432,0.07478795716026779,0.07478795716026779,0.07478795716026779,,,
WHbb,66.232275837835,66.232275837835,54.025327933073534,50.023998922699356,44.92143076370291,6.907266605358998,2.4974379449292576,0.1531116007329356,0.1531116007329356,0.15055043914717942,,,
ggZHbb,5.921431593700421,5.921431593700421,4.892898443720664,4.318368215589913,3.968164185800416,0.9286302130398139,0.3281051096373332,0.011691041462919861,0.011691041462919861,0.011361264381393704,,,
ttHbb,187.9810602386041,187.9810602386041,158.72919113125147,137.40247129651553,129.51262214923167,30.555455069647685,4.650221382310627,0.20815082427668494,0.19377623010794653,0.17553190612805303,,,
HWW,97.55810924622654,97.55810924622654,82.39171998279944,69.93363430054482,65.73738608356354,18.176512400805635,1.7540547703560923,0.37160692165148546,0.3523159990893,0.33724417800817597,,,
Data,1331012.0,1331012.0,,,,166982.0,12343.0,641.0,635.0,628.0,964614.0,800395.0,681593.0
