,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMR_down < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMR_down < 170.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,1.8528552840694592,0.9537117464447631,0.47091972827374806,0.47051392965318073,0.4694744388275346,
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,167868.6552362613,12830.405915719492,477.1694318580991,477.1694318580991,461.68898803529487,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,13367.414921089137,925.4747561190787,39.575195915897346,36.578274005222,34.77773241653532,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1156.8562586530138,94.98966665329044,5.008388918831574,4.6366536438373425,4.6366536438373425,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,2100.218579253634,154.43760997834778,10.245308324127526,10.245308324127526,10.245308324127526,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,4310.9388846164675,1472.1851478718972,47.839883516407795,47.839883516407795,47.77269176868674,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,208.8124022713942,69.49452697988652,3.5559071385319885,3.43215384865731,3.43215384865731,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,11.012405116677433,3.7128839501908595,0.03596960581802068,0.03596960581802068,0.03596960581802068,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,4.064198564684529,1.8592789551015212,0.05983853733230919,0.05983853733230919,0.05983853733230919,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,5.588995452047936,2.737020651169944,0.06081751279271852,0.06081751279271852,0.06081751279271852,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,6.286457488992621,2.222950297746775,0.14174844173793716,0.14174844173793716,0.139187280152181,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,0.9052147936175345,0.32161613599254035,0.01265309709819535,0.01265309709819535,0.012323320016669193,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,29.51609651638258,4.375473177453128,0.1981503493407489,0.1860248221435134,0.1673934108427944,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,17.652526376794967,1.721323192286463,0.37222598764183146,0.3507194599251995,0.3354019038230871,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,12343.0,641.0,635.0,628.0,166982.0
