,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.664085638901748,14.634663743387257,14.627350362876811,12.004841222502192,7.518024692581057,3.7180672568894377,3.7141697915699527,3.7065119406616867,,,
QCD,900603.3727572492,1219440.080463653,908085.895080607,784694.8847874457,677047.3385499213,163442.14197694667,12442.217264080478,423.03667588064303,423.03667588064303,423.03667588064303,,,
TT,76537.02908224257,76537.02908224257,62434.741959194434,52882.17030068872,48311.13588191261,13375.749959243412,941.0081106993355,39.631277576683175,36.098644883206056,34.17640886357016,,,
ST,6617.229257123121,6617.229257123121,5325.80081734735,4662.396098034393,4303.878792919848,1176.4745881077665,70.48766983413479,4.21130070424113,4.21130070424113,3.539096962244738,,,
W+Jets,12421.273275458932,12421.273275458932,10072.646981252461,8868.262811099126,7987.845110575271,1326.2610360247725,81.029269636607,6.961964223246258,6.961964223246258,6.961964223246258,,,
Z+Jets,14717.02364266734,14717.02364266734,11582.919626053845,10251.951497265089,9211.81124412797,1783.2231298392385,305.29053653342976,10.665389461969504,10.665389461969504,10.665389461969504,,,
Diboson,703.6912877316817,703.6912877316817,561.8685694857775,505.4898598539595,457.4372745055652,49.387399844669545,11.079295450449436,0.48616688795535856,0.48616688795535856,0.48616688795535856,,,
ggFHbb,138.81856362723408,138.81856362723408,112.60450913156686,94.6259647127805,82.59180901761695,64.61201042717823,33.14560605359637,0.6195688779827178,0.6195688779827178,0.6195688779827178,,,
VBFHbb,40.60062332311162,40.60062332311162,33.60571817128439,29.885803179130086,27.370271594290557,21.69205521453472,11.791360107317928,0.3287891237216909,0.3287891237216909,0.3287891237216909,,,
ZHbb,38.56092725636813,38.56092725636813,31.20122380552654,28.343174998909344,25.34379385329425,16.956530866833422,9.153612952371962,0.5069449153039193,0.5056369068913475,0.5056369068913475,,,
WHbb,66.232275837835,66.232275837835,53.150695822768775,49.02523405513443,43.86600715203423,33.101211584756705,17.09246694373497,1.2802895850530107,1.2792720780149778,1.265704058425683,,,
ggZHbb,5.921431593700421,5.921431593700421,4.828521517480783,4.240161555487156,3.8908430408571544,2.168695764345542,1.04808691926555,0.038056303713668305,0.038056303713668305,0.03776005416893923,,,
ttHbb,187.9810602386041,187.9810602386041,156.95001725061965,134.6751511736224,126.71882636062018,48.16173052581368,15.006399119882353,0.6191413510192942,0.5715032340677694,0.5219250061365037,,,
HWW,97.55810924622654,97.55810924622654,81.47738527211762,68.47991646678186,64.22643517059532,17.02948090786672,1.1998171398072173,0.1747269536141376,0.15586400664229721,0.14776995617596536,,,
Data,1331012.0,1331012.0,,,,162980.0,11417.0,581.0,575.0,575.0,964614.0,800395.0,681593.0
