,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.666859179111984,14.639694914964442,14.632642071239111,12.008715200872015,7.519404418617835,3.7183666891951956,3.714469223875711,3.7068113729674455,,,
QCD,900603.3727572492,1219440.080463653,925130.7098052665,804133.2682482771,697193.3904329769,168785.87543030022,12866.143194726788,444.1166529773173,444.1166529773173,444.1166529773173,,,
TT,76537.02908224257,76537.02908224257,63293.829774565675,54070.233788486286,49559.310461325455,13845.892686476673,972.8267520159421,40.92503515796814,37.30367145368852,35.1670892623459,,,
ST,6617.229257123121,6617.229257123121,5398.289445526995,4757.109074073118,4403.390399266753,1211.5948638467207,71.58276843194936,4.2570226385952035,4.2570226385952035,3.5848188965988115,,,
W+Jets,12421.273275458932,12421.273275458932,10220.743366223162,9052.57934642135,8176.198484816143,1358.667839898914,83.0634744721579,7.038830992140935,7.038830992140935,7.038830992140935,,,
Z+Jets,14717.02364266734,14717.02364266734,11782.081301630982,10482.15974538318,9443.621822815534,1834.9634338894202,315.2118472024951,11.041991276944158,11.041991276944158,11.041991276944158,,,
Diboson,703.6912877316817,703.6912877316817,570.169476883156,515.5452934289559,467.26876511247815,50.719030557265334,11.551108560836653,0.48616688795535856,0.48616688795535856,0.48616688795535856,,,
ggFHbb,138.81856362723408,138.81856362723408,114.57698729067809,97.00477625583129,85.48363225138431,66.79086313006576,34.27237177503136,0.693355394289557,0.693355394289557,0.693355394289557,,,
VBFHbb,40.60062332311162,40.60062332311162,34.11696307749374,30.627290695490647,28.201896821218824,22.279771617785162,11.970646223299726,0.3287891237216909,0.3287891237216909,0.3287891237216909,,,
ZHbb,38.56092725636813,38.56092725636813,31.615386008244307,28.86572461009839,25.91321120278385,17.3632250666691,9.336737008010795,0.5219874433550944,0.5206794349425227,0.5206794349425227,,,
WHbb,66.232275837835,66.232275837835,54.025327933073534,50.023998922699356,44.92143076370291,33.89591424256424,17.507096832206557,1.303959395250187,1.302941888212154,1.2893738686228589,,,
ggZHbb,5.921431593700421,5.921431593700421,4.892898443720664,4.318368215589913,3.968164185800416,2.2178270247600467,1.070234637512674,0.03866972629068755,0.03866972629068755,0.038373476745958486,,,
ttHbb,187.9810602386041,187.9810602386041,158.72919113125147,137.40247129651553,129.51262214923167,49.53713440345615,15.380253107490146,0.6375982954905227,0.5892357704389924,0.5388529629116285,,,
HWW,97.55810924622654,97.55810924622654,82.39171998279944,69.93363430054482,65.73738608356354,17.559060088061337,1.2428397183673612,0.17678181152679354,0.15791886455495316,0.15025303753901736,,,
Data,1331012.0,1331012.0,,,,162980.0,11417.0,581.0,575.0,575.0,964614.0,800395.0,681593.0
