,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMR_up < 150.0,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),14.688073034644484,14.688073034644484,14.66398441947416,14.63468398283262,14.627286968480925,11.362169359490279,7.113844981251061,3.522850289524067,3.5193316768884597,3.51182346036524,
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,163629.25258556637,12520.482555223683,414.7552652725958,414.7552652725958,414.7552652725958,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,13566.37038132131,952.1081175398543,39.885966141326534,36.62534097440633,34.636312905671346,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1177.591992650595,72.06357455723267,3.8894490638523873,3.8894490638523873,3.217245321855996,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1338.9962306916404,81.23268484802048,7.077874198714948,7.077874198714948,7.077874198714948,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,1916.7381607365433,366.50132433188287,12.253198741719032,12.253198741719032,12.253198741719032,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,59.07441154892312,16.135348298291603,0.679089027379416,0.679089027379416,0.679089027379416,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,60.36878427476091,31.02665930123577,0.5859553840365134,0.5859553840365134,0.5859553840365134,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,20.672500455992875,11.089765865149989,0.29620112724017306,0.29620112724017306,0.29620112724017306,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,16.195386129865643,8.697581850830769,0.4753133760604045,0.4740053676478328,0.4740053676478328,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,31.25817902162052,16.117356613519192,1.1822816927991595,1.1812641857611264,1.171835325386069,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,2.087301993293978,1.0051791394708696,0.03735681342127846,0.03735681342127846,0.036730786795023236,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,47.23730423883515,14.327017839590978,0.5778994189530663,0.5361516329984543,0.48665927649362156,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,17.084725832486512,1.1960594526642492,0.16066785438232228,0.14537183143863094,0.1372777809722991,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,11417.0,581.0,575.0,575.0,162980.0
