,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,4.130453918281259,1.9191359937191357,0.9062842924594999,0.9043909082881875,0.8970538794963308
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,230589.56333447632,211702.19138012858,204997.43015549536,204554.4811799458,203493.5596924314
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,24941.001480146566,23301.726705329995,22187.79876779319,19604.765894606622,17541.94410955973
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,2121.0297454899605,1975.5151234245163,1865.764386790043,1686.7667977255712,1529.2226724768561
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,2951.5415648482804,2731.9864778195397,2549.7532185338623,2543.1415454291846,2531.748246592546
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,7897.527789998375,5103.27993111104,4892.788054281991,4882.279368333169,4855.929921466871
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,335.70086955775264,218.20262271726548,208.94578397972634,198.63921276254177,185.75408292993342
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,25.304606669178984,15.741130474366546,15.291168926620884,15.25414065462605,15.078944465202056
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,6.966199227388761,4.186295077474572,4.111881636651145,4.098182448558309,3.996457533431928
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,11.102216620991042,5.769331199197623,5.519288194674567,5.512036751854359,5.4267668837377245
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,12.920625718243707,8.249634537397023,7.651762595368589,7.62836804126861,7.549624664022912
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,1.6988280741295014,1.0979853814899614,1.0582946522580432,1.0554634826289833,1.0455513715988762
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,56.52427116253409,48.54956029837912,46.68554947357581,40.877223669275644,35.63927089771491
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,32.4622849304649,29.235798679463432,25.206769797783902,20.522890243974704,16.851917759070446
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,287601.0,264294.0,250670.0,246997.0,243334.0
