,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.985138028323494,30.94314561631638,30.937494265156612,4.130113917547792,1.9193122049387177,0.9064117060590088,0.9045183218876963,0.8971812930958396,,,
QCD,1117757.9198795077,1251971.8257647846,1096823.3648627643,1008913.1976229508,943765.3420225268,229706.95149860345,210897.60934462945,204237.00144983738,203799.40967634466,202758.41518666944,,,
TT,114729.520688572,114729.520688572,102937.09414930944,92452.86171917933,89017.28627421668,24831.025465392544,23198.452655973284,22088.35896740194,19521.817209663168,17474.713920478414,,,
ST,9991.097357360095,9991.097357360095,8851.86333966262,8151.191801239113,7871.797112112172,2113.491294937928,1968.6657630180837,1858.5265505073887,1681.30513064504,1524.3444246618815,,,
W+Jets,14710.822213085146,14710.822213085146,13383.822143348041,12404.2214760125,11856.154755280988,2937.7852614347566,2718.989360114251,2537.115898690585,2530.5130660578534,2519.173093932912,,,
Z+Jets,21597.004857058182,21597.004857058182,19260.917047394778,17896.968070869505,17052.857097503325,7864.2855671531415,5083.290235111257,4873.471904163833,4862.918872174022,4836.596895881347,,,
Diboson,936.1606241609029,936.1606241609029,848.6277079107374,801.3643305141766,767.1590774624293,333.8247270476408,216.85047273993703,207.85129951046528,197.54472829328077,184.8559159988863,,,
ggFHbb,224.56874142701201,224.56874142701201,204.27784706506026,184.57541758596614,174.39775354059967,25.21425398638641,15.643982984226506,15.194021436480845,15.15699316448601,14.981796975062018,,,
VBFHbb,66.27722451912622,66.27722451912622,60.60652636866841,56.108538560361204,53.862826031283674,6.957460334923727,4.179636291567004,4.105222850743576,4.09152366265074,3.98979874752436,,,
ZHbb,63.465766584473805,63.465766584473805,57.552859435784285,54.51396998506854,51.86244003540488,11.073017057759927,5.759404765220902,5.510904790560193,5.503653347739986,5.418383479623351,,,
WHbb,108.86564442012758,108.86564442012758,98.33912618522614,94.15321236548372,89.665518131979,12.887471140097249,8.226927997518429,7.630367599804876,7.606973045704897,7.52945854749624,,,
ggZHbb,9.5080271296301,9.5080271296301,8.524747530801806,7.849186618767565,7.554323751664462,1.6917288298197835,1.0942549599654146,1.0546958404366766,1.0518646708076167,1.0419525597775094,,,
ttHbb,312.2634270090423,312.2634270090423,279.3762636177432,250.23725573372224,244.08128499551196,56.334721562798464,48.384329425728836,46.52126173405501,40.74783581777642,35.54338568949187,,,
HWW,150.6196638895773,150.6196638895773,135.3341495565584,119.2607765244569,116.02818615709796,32.326213681947486,29.10865436643439,25.089136781868753,20.427083584902284,16.782464502010544,,,
Data,1414872.0,1414872.0,,,,287601.0,264294.0,250670.0,246997.0,243334.0,1283242.0,1192162.0,1159898.0
