,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.985687597793724,30.944883291081002,30.939326271577116,4.130361988104318,1.9191771790754968,0.9063254778158613,0.9044320936445488,0.8970950648526922,,,
QCD,1117757.9198795077,1251971.8257647846,1099012.7199024037,1010557.3865396243,949392.4030456147,230866.64364289754,211949.54981975525,205238.4348317555,204791.28510869486,203744.74343408772,,,
TT,114729.520688572,114729.520688572,103191.20191184334,92840.08833303611,89611.88510287431,25008.790495172005,23365.65895884007,22250.929138421263,19652.31977210742,17576.221582767233,,,
ST,9991.097357360095,9991.097357360095,8876.562993362075,8184.589479741274,7923.9598540277475,2124.6470231156277,1979.109478403644,1869.8997302959792,1690.0410611145946,1532.3474282675038,,,
W+Jets,14710.822213085146,14710.822213085146,13396.534931934088,12425.23812743614,11916.488443329912,2959.18049534505,2738.794162461278,2555.72462109534,2549.112947990662,2537.659943120966,,,
Z+Jets,21597.004857058182,21597.004857058182,19300.288097552362,17935.77203458006,17145.081573721967,7915.600353990742,5114.8964045379935,4904.059273455165,4893.46405548227,4866.986930218846,,,
Diboson,936.1606241609029,936.1606241609029,850.8501661912385,803.2913693057035,771.9883644407507,336.68703162765814,219.05784017242544,209.80100143488627,199.49443021770173,186.60930038509335,,,
ggFHbb,224.56874142701201,224.56874142701201,204.68202417304877,184.94624192346618,175.29115301868828,25.35423512907178,15.764394130110766,15.314432582365107,15.277404310370272,15.10220812094628,,,
VBFHbb,66.27722451912622,66.27722451912622,60.62062480404775,56.15355779194064,54.04824306677838,6.922090221446357,4.156642568603496,4.082229127780067,4.068529939687232,3.966805024560851,,,
ZHbb,63.465766584473805,63.465766584473805,57.635540215906765,54.55744342646091,52.12111169624213,11.1151755742774,5.7797809113341,5.529273855482615,5.522022412662408,5.437627475496817,,,
WHbb,108.86564442012758,108.86564442012758,98.45557809636797,94.2170323002978,90.11208563154022,12.93186162422822,8.258330055899206,7.660938383210096,7.637543829110119,7.558800451864421,,,
ggZHbb,9.5080271296301,9.5080271296301,8.537972606076476,7.869087631845407,7.59027263606386,1.7031580342288875,1.1012321966524494,1.0612096744536776,1.058378504824618,1.0482117887788305,,,
ttHbb,312.2634270090423,312.2634270090423,279.8295542589564,251.04564243275024,245.18197187027914,56.63079857964969,48.62669836677515,46.762517071835866,40.932366045045484,35.664972564781216,,,
HWW,150.6196638895773,150.6196638895773,135.6185484608632,119.82393811275331,116.78543137409841,32.558331439625,29.320477554348837,25.281163568605812,20.57741215833532,16.890147508108505,,,
Data,1414872.0,1414872.0,,,,287601.0,264294.0,250670.0,246997.0,243334.0,1283242.0,1192162.0,1159898.0
