,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMR_down < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMR_down < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,3.943914175213652,1.8512801983876688,0.8715970399863852,0.8698551343877975,0.862337711473866,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,231159.79518203458,212245.82388770673,205621.76666836362,205197.55387994566,204126.74963289517,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,24784.33761821273,23158.861262645063,22048.082890244536,19472.644447777486,17412.16240312533,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,2109.1032793737068,1964.328056730469,1853.048014539935,1668.2008647959283,1508.3569729872138,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,2935.0326921294936,2715.3387336016503,2532.642218166792,2525.965515300798,2514.702311591506,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,8035.569518268772,5175.108692820789,4961.553923073891,4950.871163307186,4923.716057472649,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,337.36674397130344,214.0270539998346,205.99660439750883,196.3813994638233,182.917950278003,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,24.63120974635935,15.508871656557135,15.14307319807046,15.127742649953053,14.954423595378348,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,6.725329123972649,4.13082039982856,4.073400942324568,4.04625470378595,3.9539648561304794,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,10.916148236547834,5.656030616451697,5.416894618799968,5.408560569233809,5.320377690185982,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,12.34717764188445,7.969621984207694,7.410671683575753,7.380410606973982,7.297929470820076,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,1.6820869744929352,1.0850011896888807,1.045338136457965,1.0420936566283836,1.0330627472665759,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,56.211169865974696,48.42439969303619,46.576035556546124,40.754477619871864,35.61386019550823,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,32.26492711356036,29.033185342210007,25.01889576065716,20.3558364433113,16.71423020880713,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,264294.0,250670.0,246997.0,243334.0,287601.0
