,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMS_down < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMS_down < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,4.240693500112688,1.9564613920203384,0.9220846965267714,0.9201913123554589,0.9127627083186416,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,230346.7035154631,211445.1755289852,204719.3115333331,204279.78078592115,203231.08673278583,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,25353.712164778026,23680.64087164078,22550.637500642275,19957.801672883677,17852.122019105285,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,2137.0173657198434,1989.86763559245,1877.394018377163,1692.8720096576478,1533.2597207149333,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,2868.8404142589748,2654.873247402912,2474.586120846576,2468.268343669421,2457.171333038499,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,7812.544342365372,5063.4276348553385,4854.7334196326165,4843.905804974525,4817.519565902357,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,326.5242532592261,210.70855594637462,202.36874873937344,192.2790610254957,179.9669553137485,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,25.373183717398774,15.75520797847436,15.325833472708892,15.293817134394441,15.118620944970447,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,6.81877591877606,4.142566547509947,4.068153106686519,4.027592525750983,3.9359966064643466,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,10.98316668294009,5.724070584631034,5.4770339859614054,5.470415406200159,5.3845685691695895,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,12.881534010174171,8.232513075564038,7.642571916527912,7.617123691413086,7.533303571720138,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,1.6814202361798634,1.0924764961620648,1.0527043553331432,1.050102294588073,1.0401918662743959,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,57.18456004684407,49.16914551652131,47.29980351660213,41.38492444409009,36.06594853307104,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,32.86890389092043,29.656481974195888,25.57782478726505,20.842253560216818,17.11850416592975,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,264294.0,250670.0,246997.0,243334.0,287601.0
