,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98766887037498,30.94950193397809,30.94456120213139,25.62611368967695,9.016951419096452,4.251284336094571,4.244422475724596,4.22047027390183,,,
QCD,1117757.9198795077,1251971.8257647846,1105549.59370053,1021329.7516689496,960667.4731143379,231159.11724965143,211377.70680905235,204732.6991214906,204371.3828905372,203401.65333248815,,,
TT,114729.520688572,114729.520688572,103599.74745728384,93619.3003460447,90459.03080824536,25645.903414049557,24000.99846074676,22864.977925688127,19563.061599364253,17465.733952603903,,,
ST,9991.097357360095,9991.097357360095,8912.732392153413,8241.245864575521,7984.7180717082765,2218.861636593547,2072.788010103237,1944.9640693387555,1713.1841449112917,1551.7049248593498,,,
W+Jets,14710.822213085146,14710.822213085146,13457.618013566465,12524.789518194004,12021.64481310384,1962.436818029444,1840.2165464350546,1689.6757402004987,1684.0179372283353,1676.5549548824526,,,
Z+Jets,21597.004857058182,21597.004857058182,19400.58851275338,18095.476586413675,17312.991950153075,3169.8842339729126,2631.000958952101,2510.8850961593416,2504.2142886454853,2484.392911277909,,,
Diboson,936.1606241609029,936.1606241609029,854.0576235376294,808.9537912480199,777.1374693034588,90.3049802463241,68.87975256018471,65.55482016994235,62.09869113089549,57.72288863009285,,,
ggFHbb,224.56874142701201,224.56874142701201,205.7732416903081,186.84217323885284,177.35265561665736,140.76422008105453,68.13978383067082,66.54151339963904,66.41802021585433,66.04797662437335,,,
VBFHbb,66.27722451912622,66.27722451912622,60.98406856544045,56.74996505823215,54.675112016044,44.86449065740618,19.847495860437682,19.277320496497634,19.221312360134416,19.030534473572995,,,
ZHbb,63.465766584473805,63.465766584473805,57.940243991699205,55.02203318462641,52.61910730778478,35.78114910575833,16.565122429523242,15.625256083869997,15.589906604070729,15.462599741576739,,,
WHbb,108.86564442012758,108.86564442012758,98.98339434176201,94.9793552018583,90.88833922234261,70.36966632434572,34.19783955349427,31.54449074082799,31.472969827155865,31.27624560166816,,,
ggZHbb,9.5080271296301,9.5080271296301,8.57626932635681,7.9288841785111615,7.653663143159653,4.42094556686998,2.3488378770042697,2.2477979673044395,2.2401622429376644,2.220716763276945,,,
ttHbb,312.2634270090423,312.2634270090423,281.02384923469947,253.23244305144075,247.58797473486015,97.95830159094584,67.25476717645748,64.31883585568487,55.070570220852176,47.518039290987446,,,
HWW,150.6196638895773,150.6196638895773,136.159076295388,120.83599124728971,117.84837269088797,31.062948357976047,29.10936831271362,25.750188409884437,20.299527313721182,16.66765646610116,,,
Data,1414872.0,1414872.0,,,,281391.0,259227.0,246255.0,241691.0,238089.0,1283242.0,1192162.0,1159898.0
