,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110.0 ≤ bbFatJetParticleNetMass_JMR_up < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110.0 ≤ bbFatJetParticleNetMass < 150.0
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,24.450498169163325,8.6018950191242,4.051131921947238,4.044227479923789,4.02074089988385,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,226841.2085764469,207470.95887315704,200999.82057905826,200666.3290901653,199691.39966409327,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,25509.193697060462,23874.32516982235,22743.906077137406,19518.228377397478,17433.021948380752,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,2185.44455204831,2040.2872030579076,1912.6975563413564,1681.485338339079,1523.7263138490998,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,1945.7372450923403,1824.528762087861,1678.0604309330402,1672.6528162476325,1665.3255852919024,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,3317.302467037624,2693.02499933241,2570.5165355783106,2563.8125073520905,2543.4095544300762,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,98.94982982883849,73.85344048715746,70.58123525758245,66.77964095113663,62.269774460025374,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,131.5905440830673,63.761495006560736,62.22406143871005,62.10056825492532,61.784220027306894,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,42.29355130570434,18.812087788352557,18.301003804253025,18.244710822193888,18.013389486591436,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,33.76958732440864,15.603506986381738,14.74751973845043,14.71547019911637,14.589839679927962,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,66.1891786971991,32.114534377456835,29.58815769940503,29.52274778773731,29.344759723521726,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,4.192807683871874,2.233312515885839,2.139237329238101,2.131314255271961,2.1121411782940136,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,94.82162776531061,65.62730870459053,62.72667393697164,53.88079728738685,46.66596929357087,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,31.033102521533003,29.04080317408008,25.64792345566944,20.280484333866212,16.642453525036146,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,259227.0,246255.0,241691.0,238089.0,281391.0
