,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMS_down < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMS_down < 170.0,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.98558751383303,30.944255566780946,30.9388503260758,4.240693500112688,2.2842321080923496,1.27187082601895,1.2707906636127215,1.2677158349189006,
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,230346.7035154631,18901.527986477904,784.4085346901493,784.4085346901493,784.4085346901493,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,25353.712164778026,1673.071293137255,72.28141383419137,66.38339652672194,63.9598053998519,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,2137.0173657198434,147.14973012739358,8.965070236247334,8.150817985842735,7.6734038997989495,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,2868.8404142589748,213.9671668560627,16.448041733336133,16.331306375505722,16.331306375505722,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,7812.544342365372,2749.116707510034,107.04750527592745,107.04750527592745,106.56490668334365,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,326.5242532592261,115.81569731285151,6.010582748075253,5.7373930768792505,5.7373930768792505,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,25.373183717398774,9.617975738924416,0.3568405771715518,0.3568405771715518,0.3568405771715518,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,6.81877591877606,2.676209371266113,0.09224827903124713,0.09224827903124713,0.09224827903124713,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,10.98316668294009,5.2590960983090556,0.1378329650512908,0.1378329650512908,0.1378329650512908,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,12.881534010174171,4.649020934610132,0.35641808253283996,0.35641808253283996,0.3511811075023883,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,1.6814202361798634,0.5889437400177986,0.01577761092472011,0.01577761092472011,0.01577761092472011,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,57.18456004684407,8.01541453032275,0.3173060367743886,0.2921354051124297,0.2719616956292223,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,32.86890389092043,3.212421916724541,0.7664472556314978,0.7424904292774507,0.7242876858231009,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,23307.0,1247.0,1233.0,1223.0,287601.0
