,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.985138028323494,30.94314561631638,30.937494265156612,25.621270845120133,16.607504042827824,9.275056712955564,9.266998697306423,9.244462846014113,,,
QCD,1117757.9198795077,1251971.8257647846,1096823.3648627643,1008913.1976229508,943765.3420225268,227244.23373725262,19421.61620000251,691.2479433728813,691.2479433728813,691.2479433728813,,,
TT,114729.520688572,114729.520688572,102937.09414930944,92452.86171917933,89017.28627421668,25091.939032505674,1609.462376338792,66.89122773116854,58.903553827261334,55.843269498770866,,,
ST,9991.097357360095,9991.097357360095,8851.86333966262,8151.191801239113,7871.797112112172,2175.8454692707396,142.67384756978407,9.155474542358442,8.536159621015043,7.930986747250644,,,
W+Jets,14710.822213085146,14710.822213085146,13383.822143348041,12404.2214760125,11856.154755280988,1933.5359822467904,120.58304001548709,12.17812309392063,12.053014709137424,11.956302498797532,,,
Z+Jets,21597.004857058182,21597.004857058182,19260.917047394778,17896.968070869505,17052.857097503325,3116.611202329338,529.1314592459909,23.81172665932536,23.667072300064188,23.667072300064188,,,
Diboson,936.1606241609029,936.1606241609029,848.6277079107374,801.3643305141766,767.1590774624293,89.1579782797057,21.30622062227244,0.8434079834187398,0.8434079834187398,0.8434079834187398,,,
ggFHbb,224.56874142701201,224.56874142701201,204.27784706506026,184.57541758596614,174.39775354059967,138.41146686824572,71.39498999234537,2.1777107863251643,2.1777107863251643,2.154278278744821,,,
VBFHbb,66.27722451912622,66.27722451912622,60.60652636866841,56.108538560361204,53.862826031283674,44.22897299580667,24.65421621205813,0.9058721314490135,0.9058721314490135,0.9058721314490135,,,
ZHbb,63.465766584473805,63.465766584473805,57.552859435784285,54.51396998506854,51.86244003540488,35.25582487786166,18.95142242278054,1.1144034558709182,1.1130073360146504,1.108115692060482,,,
WHbb,108.86564442012758,108.86564442012758,98.33912618522614,94.15321236548372,89.665518131979,69.40954271828892,35.74376285301228,2.9749821584783094,2.97370015138154,2.962771975986154,,,
ggZHbb,9.5080271296301,9.5080271296301,8.524747530801806,7.849186618767565,7.554323751664462,4.360475031798855,2.0434542008189127,0.09288907153843248,0.09288907153843248,0.09228585893917718,,,
ttHbb,312.2634270090423,312.2634270090423,279.3762636177432,250.23725573372224,244.08128499551196,96.28150286917858,30.21271163092868,1.3646212579466672,1.2441249262759984,1.119010951382705,,,
HWW,150.6196638895773,150.6196638895773,135.3341495565584,119.2607765244569,116.02818615709796,30.420629389090333,1.9125895485095403,0.2504260403946509,0.22734197966260344,0.20990337622657765,,,
Data,1414872.0,1414872.0,,,,281391.0,22164.0,1154.0,1142.0,1126.0,1283242.0,1192162.0,1159898.0
