,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),31.013465093614588,31.013465093614588,30.985687597793724,30.944883291081002,30.939326271577116,25.622636397654933,16.60810941163207,9.275064470051168,9.267006454402026,9.244470603109718,,,
QCD,1117757.9198795077,1251971.8257647846,1099012.7199024037,1010557.3865396243,949392.4030456147,228463.86010320936,19489.318811353955,694.2982782952254,694.2982782952254,694.2982782952254,,,
TT,114729.520688572,114729.520688572,103191.20191184334,92840.08833303611,89611.88510287431,25336.76029897375,1625.4103048108177,66.6251478788127,58.529002843911805,55.56970778590113,,,
ST,9991.097357360095,9991.097357360095,8876.562993362075,8184.589479741274,7923.9598540277475,2200.458572408218,144.7937407399994,9.5487303885623,8.929415467218904,8.324242593454501,,,
W+Jets,14710.822213085146,14710.822213085146,13396.534931934088,12425.23812743614,11916.488443329912,1945.5855408172292,121.53069848248731,12.567938723060228,12.442830338277018,12.346118127937125,,,
Z+Jets,21597.004857058182,21597.004857058182,19300.288097552362,17935.77203458006,17145.081573721967,3139.317619335513,534.2266581750722,24.242226005595562,24.097571646334398,24.097571646334398,,,
Diboson,936.1606241609029,936.1606241609029,850.8501661912385,803.2913693057035,771.9883644407507,89.46010967928677,21.42522768613939,0.8434079834187398,0.8434079834187398,0.8434079834187398,,,
ggFHbb,224.56874142701201,224.56874142701201,204.68202417304877,184.94624192346618,175.29115301868828,139.22235885205146,71.71310626119643,2.1671343019015294,2.1671343019015294,2.1437017943211862,,,
VBFHbb,66.27722451912622,66.27722451912622,60.62062480404775,56.15355779194064,54.04824306677838,44.44710303161108,24.802597504858745,0.9058721314490135,0.9058721314490135,0.9058721314490135,,,
ZHbb,63.465766584473805,63.465766584473805,57.635540215906765,54.55744342646091,52.12111169624213,35.46349579692432,19.054251301375665,1.1192158797888123,1.1178197599325443,1.112928115978376,,,
WHbb,108.86564442012758,108.86564442012758,98.45557809636797,94.2170323002978,90.11208563154022,69.78098356102647,35.89939993136626,2.991032421466863,2.9897504143700937,2.9788222389747077,,,
ggZHbb,9.5080271296301,9.5080271296301,8.537972606076476,7.869087631845407,7.59027263606386,4.379927655607294,2.0537499388951934,0.09436513538744215,0.09436513538744215,0.09376192278818686,,,
ttHbb,312.2634270090423,312.2634270090423,279.8295542589564,251.04564243275024,245.18197187027914,96.78804887646295,30.336535559297488,1.3575927291861496,1.2370963975154807,1.1148533501289293,,,
HWW,150.6196638895773,150.6196638895773,135.6185484608632,119.82393811275331,116.78543137409841,30.71174873330542,1.936436263822134,0.2522343912521374,0.22915033052008993,0.21171172708406416,,,
Data,1414872.0,1414872.0,,,,281391.0,22164.0,1154.0,1142.0,1126.0,1283242.0,1192162.0,1159898.0
