,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,90.0 ≤ bbFatJetParticleNetMass_JMS_up < 110.0 or 150.0 ≤ bbFatJetParticleNetMass_JMS_up < 170.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,90.0 ≤ bbFatJetParticleNetMass < 110.0 or 150.0 ≤ bbFatJetParticleNetMass < 170.0
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,5.5334837344199945,2.576383144241779,1.213693749416769,1.2126493866866679,1.203441562639009,
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,242576.20184197574,223206.0182858126,215940.8072742031,215551.64020688168,214480.19904417786,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,28536.221077454124,26716.27390719124,25397.110496486348,22496.654678151426,20208.802652470025,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2501.1403333823,2347.62815112791,2202.7357277821625,1995.2384897268278,1800.20377685945,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,3334.909385898127,3092.245724712833,2880.4638018554174,2872.060017597718,2863.429153703124,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,8732.813635759056,5682.770140302291,5449.769161342593,5437.016596250385,5409.703561915855,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,382.4325870634181,248.9255710858921,230.8921047218186,220.40542226790492,209.25334032126023,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,27.680520061767417,17.6477277174061,17.030715592614555,16.959958926200958,16.856973466198603,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,7.781749732805459,4.389344857691361,4.234627054545696,4.212249866289779,4.163784370308679,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,12.072854352077947,6.210742484007278,5.974776489481906,5.963150916650472,5.906630232010846,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,15.276322942506763,9.744997223951891,9.059531639737951,9.039320977301966,8.961576218877996,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,2.0067018336326825,1.3189952400609486,1.2812610733802052,1.2759504301490272,1.264848979347502,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,66.00297851297698,56.67405256656972,54.151247484126,47.56330630755489,41.56400390211395,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,38.24484594400634,34.810560571246114,29.88673192269472,24.365508769641934,20.11946239793179,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,267694.0,254048.0,250108.0,246471.0,289474.0
