,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48122773026381,40.425136401099984,40.42177334133724,33.099354219281,11.671749557187368,5.44469767509563,5.432859180018615,5.409163974269825,,,
QCD,1126208.5372077702,1204990.9790546389,1091686.2767067247,1023988.7977089484,994468.4629464046,241426.23804242734,222040.00244163125,214816.1181632607,214504.1293097557,213503.9810819028,,,
TT,126178.01663528233,126178.01663528233,115273.36186126171,105326.70861191051,103602.56899115718,28588.192576098285,26826.347922636476,25491.08429004194,21889.512622405422,19670.382364000423,,,
ST,11213.018738828068,11213.018738828068,10142.455724780455,9458.133006199738,9322.638614477924,2565.9448413655427,2409.193170696629,2260.052812985611,2007.131024559349,1818.5067976717137,,,
W+Jets,15930.077126498532,15930.077126498532,14783.19186296935,13931.043934545101,13664.959972341398,2204.138263106691,2074.0881915547952,1900.0563319596863,1895.305828466309,1887.3298544467314,,,
Z+Jets,22772.15825578505,22772.15825578505,20802.972335464023,19632.050664188246,19227.04958843867,3407.2459949641,2867.214886158342,2738.021559308198,2731.2889085456836,2714.9223421529587,,,
Diboson,1008.6650414863541,1008.6650414863541,936.4402865398723,893.2616454536287,876.8503007563286,86.76682988638129,69.33460769343824,67.48523009891107,62.303827468795674,57.1152783786503,,,
ggFHbb,223.1087799478259,223.1087799478259,208.30195403751515,190.49653420734825,185.54171233559265,146.06193380595067,71.45991914866983,69.3275042055281,69.15174864406184,68.64637927824323,,,
VBFHbb,71.28205035333777,71.28205035333777,66.61287465011183,62.84198870650114,61.685130797987306,50.72257489495237,22.587586671680548,21.79561577847074,21.687476312450798,21.48660993721412,,,
ZHbb,67.12062616739404,67.12062616739404,62.11539479001107,59.65733937566006,58.377605837385396,39.9959732302309,18.772827106914544,17.72502871060971,17.685363123718638,17.524106460161548,,,
WHbb,116.35029311753367,116.35029311753367,107.49712890863049,103.98776396880199,101.82282820093816,78.1501425825835,38.107235187927984,35.17326982798121,35.08928515414703,34.85106719646119,,,
ggZHbb,10.311005316400477,10.311005316400477,9.447615984178295,8.874781762097546,8.729540016747084,4.892113544438805,2.645023623174136,2.5335999234763036,2.5245521370691524,2.5045186260772914,,,
ttHbb,354.83801865944884,354.83801865944884,321.3836060749171,292.643026654335,289.53986342140485,112.80959092450018,77.83732045065554,74.30653050567969,64.16576196223846,55.56981745663676,,,
HWW,172.07437391871366,172.07437391871366,156.48847906642104,139.66369434781421,138.04955422749703,35.78589105002122,33.76078794288526,29.748086127396746,23.825290939027845,19.701593663709637,,,
Data,1383108.0,1383108.0,,,,281048.0,260773.0,247451.0,242832.0,239356.0,1270702.0,1193818.0,1182302.0
