,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,110.0 ≤ bbFatJetParticleNetMass < 150.0,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.473150080174825,40.408783740514195,40.40348122707436,33.08719261519205,11.663416264800805,5.436905820516228,5.425067325439214,5.401437006090315,,,
QCD,1126208.5372077702,1204990.9790546389,1082791.3045432647,1010534.5328699123,975982.5535852,237085.503871196,218057.9043983722,210963.95944101765,210661.0107494102,209688.87970073213,,,
TT,126178.01663528233,126178.01663528233,114490.2353863148,103920.30786860189,101851.71702963293,27935.684704220213,26207.81493788752,24900.857283620444,21390.156398006828,19244.95562229349,,,
ST,11213.018738828068,11213.018738828068,10063.814690293584,9333.881158662574,9169.602529867114,2515.9166015358896,2361.184763572505,2214.065515854188,1967.9648687796332,1784.9812924971113,,,
W+Jets,15930.077126498532,15930.077126498532,14691.806727684198,13777.267658173338,13457.90702673858,2167.815427892599,2040.1205170799094,1867.7746056627311,1863.2323778939165,1855.32116123096,,,
Z+Jets,22772.15825578505,22772.15825578505,20633.98475649249,19387.760471367154,18906.89524950993,3344.2920236557056,2814.470966099595,2687.2533808557487,2680.7367930643486,2665.06297952771,,,
Diboson,1008.6650414863541,1008.6650414863541,928.2792348935631,882.3386302772958,863.6551975055806,85.08471220263499,67.9434799824202,66.09410238789306,61.03304335841463,57.02179214108943,,,
ggFHbb,223.1087799478259,223.1087799478259,206.96121335168272,188.11216062010658,182.14359517046486,143.21364569396417,70.04081106199597,67.93755371988411,67.76179815841786,67.25642879259924,,,
VBFHbb,71.28205035333777,71.28205035333777,66.22831484205756,62.021356057605445,60.603962583813285,49.870527385443026,22.101602106491317,21.31756589196155,21.21934591724208,21.0184795420054,,,
ZHbb,67.12062616739404,67.12062616739404,61.675631496288744,59.011833939231224,57.48892061830066,39.415699695290485,18.482893396186387,17.449151572431067,17.411518057095904,17.251333947865035,,,
WHbb,116.35029311753367,116.35029311753367,106.66396487768547,102.92776097108307,100.33370527348852,77.02366487378937,37.49319818661791,34.59339108545865,34.51204091248681,34.28049649127953,,,
ggZHbb,10.311005316400477,10.311005316400477,9.381778754562763,8.77298922770347,8.603830059714706,4.813114893419394,2.6023509556154085,2.492465618083401,2.4836472948669686,2.46401275669478,,,
ttHbb,354.83801865944884,354.83801865944884,319.26690607262464,288.7889140300193,285.10020418113174,110.62431232694098,76.20823251981122,72.74716729870474,62.83337654918159,54.438184094712604,,,
HWW,172.07437391871366,172.07437391871366,155.5646345789582,137.67677353842413,135.75568599415618,34.933875549145185,32.95395357385316,29.01783195899491,23.235849179808945,19.221478563494216,,,
Data,1383108.0,1383108.0,,,,281048.0,260773.0,247451.0,242832.0,239356.0,1270702.0,1193818.0,1182302.0
