,Pre-selection,Triggers,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[4000]->H(bb)Y[150](VV),46.90112655512743,46.66038109321307,46.59002412129452,46.54812701134224,46.545063344206056,8.286097542580901,3.9706067790295068,2.5540356191761413,2.5493686840159775,2.541607895101736
QCD,2645905.0003631003,1126208.5372077702,1020554.2275322542,957573.7953546687,929816.0319059747,204143.71305206526,16308.436741826914,428.5268159690762,428.5268159690762,427.94944827029553
TT,224362.17377437017,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,24108.317052319453,1502.0065235447412,68.59543796939313,62.26931509662829,60.722558116055794
ST,19207.43215859856,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2151.9601030370363,127.10447223308714,8.929845222833078,8.710746047067152,8.087706743285919
W+Jets,29824.690392690343,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,2613.743411446351,188.73618052783786,13.772513884200302,13.772513884200302,13.772513884200302
Z+Jets,44156.96510273168,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,7398.277771693639,2528.5420314084618,98.17566215649205,98.17566215649205,98.06176268839636
Diboson,1870.503110321401,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,302.07998863513325,106.48789439930077,6.233296181562136,6.233296181562136,5.731087102158003
ggFHbb,460.86126693767926,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,33.67687501109438,13.49014630413958,0.3781491555821225,0.3781491555821225,0.3781491555821225
VBFHbb,129.15113298722326,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,9.649882595314663,4.4752185289366775,0.17974136503036098,0.17974136503036098,0.17974136503036098
ZHbb,123.79372397625491,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,12.570759325072986,6.054062491547461,0.21890173325747245,0.21890173325747245,0.21890173325747245
WHbb,212.315032224665,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,17.751262475053203,7.074331210637419,0.593669963918015,0.593669963918015,0.5917209791843049
ggZHbb,17.870462479148685,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,1.9962389740300561,0.7098580484061654,0.023400591473055253,0.023400591473055253,0.02311203384115504
ttHbb,542.4918543042032,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,60.67597155235932,9.920753045875191,0.4483633173835734,0.41580341815008504,0.37027905116141896
HWW,270.5289554692866,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,31.981021331135942,2.7594859950699586,0.7041226079312628,0.6777967486796862,0.6406588065260143
