,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[3000]->H(bb)Y[250](VV),40.52568795142742,40.52568795142742,40.48202039748671,40.42633942585903,40.42298472685986,6.2900039745003635,2.8491156887186238,1.3478498307867972,1.3460605164926664,1.335859521584503
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,218424.31888178393,200975.0468267993,194588.637645133,194240.4910064233,193319.50806904281
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,24108.317052319453,22606.31052877471,21493.381794157296,18839.773633369383,16934.377871977646
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2151.9601030370363,2024.8556308039488,1898.615502271291,1708.0052760813799,1547.4450845330157
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,2613.743411446351,2425.0072309185134,2252.247820304091,2245.8861963371965,2238.865844251475
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,7398.277771693639,4869.735740285178,4667.726094702266,4655.938768494365,4631.760270333524
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,302.07998863513325,195.59209423583246,180.50051679721042,173.0224540052398,165.56809832524195
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,33.67687501109438,20.186728706954803,19.493853587145118,19.391416614042054,19.262508256207603
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,9.649882595314663,5.174664066377986,5.01836600255862,4.995988814302704,4.947523318321603
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,12.570759325072986,6.5166968335255255,6.263665589061917,6.2545042504626025,6.195693559785122
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,17.751262475053203,10.676931264415783,9.914893912308099,9.882260992439637,9.793455233706984
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,1.9962389740300561,1.2863809256238907,1.2466764268586723,1.2409448524038504,1.2302850393406488
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,60.67597155235932,50.75521850648414,48.51144527005089,42.45925765696248,37.09252388412854
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,31.981021331135942,29.221535336065983,25.135275614041625,20.263959581760055,16.68298281560311
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,257195.0,237860.0,225791.0,222256.0,219160.0
