,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMS_down < 110 or 145 ≤ bbFatJetParticleNetMass_JMS_down < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,207226.84081913618,190340.79814267677,184514.7218575667,184138.3561104012,183228.86406362802,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,21155.768462333453,19788.517062199327,18834.881539583428,16458.603170381368,14705.937895699306,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,1859.887216795563,1730.0136989991076,1633.0641198918295,1463.5262927763115,1318.891913572273,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,2360.6793474294777,2189.343951229082,2031.8348449901046,2026.2236832661674,2016.002790975126,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,6747.033227264918,4421.372275682123,4237.361906046675,4228.055091066164,4204.341373201436,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,269.71294300388973,169.56872142147168,163.3886514084799,154.05477690572909,142.6290991455847,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,31.54986645611391,18.67272606076054,18.185484417828576,18.14845614583374,17.94403508823158,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,8.393603682900679,4.6884288925256286,4.60207969956671,4.55908761512082,4.45736269999444,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,11.48677341720784,5.9517811374489415,5.679969525740714,5.6728699265156886,5.586250908287786,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,15.435315711299827,9.351046502167641,8.688087033718636,8.664141175556649,8.580470725751127,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,1.7251597061778425,1.0862424977186997,1.046615522335042,1.0437586714909737,1.0339510046927494,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,51.80733379034062,43.35855217431485,41.712146684268546,36.371206496307465,31.845884988834246,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,27.563656473647868,24.89433843940811,21.533274385810998,17.363504948533613,14.262047605170011,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,235981.0,223959.0,220553.0,217416.0,256609.0
