,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMR_up < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,215383.1930985347,198022.7568717588,191663.76686049046,191380.50997026416,190458.08104747956,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,24816.737550769052,23263.092244180607,22112.643594794426,19020.182997801843,17123.335347566262,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2241.3992365213558,2104.1275463809907,1974.4055019912364,1755.166803823771,1591.6541368858786,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,2010.5880190527535,1893.4636497130462,1738.294648809293,1733.8772878284603,1727.1862031410783,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,3431.712160768053,2767.0408689601645,2645.817985745841,2638.319909147159,2622.234387363278,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,98.05637628209149,71.80261664337006,67.496202664523,63.00659073328123,57.168387788237695,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,123.11174487595765,60.05408709285209,58.15534764437146,58.01792957315463,57.67818311638145,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,43.24914902768934,18.982228417400343,18.229525515497876,18.14717860106967,17.9650445040067,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,34.50568064419681,16.25206841557319,15.336062777707767,15.293576678924296,15.153443202543784,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,66.67836489972552,32.61019663305841,30.068090242581587,29.998041482891217,29.804502161965463,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,4.181706152303857,2.2623212291096872,2.1638666776594198,2.1564834001122115,2.1398099862538644,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,96.16192021696776,66.38435069873194,63.372678526890475,54.641592626029194,47.36881787975884,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,31.357721827757988,29.531669804342386,26.061416564013776,20.921826721649914,17.36414547359768,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,232894.0,220934.0,216868.0,213893.0,250856.0
