,Pre-selection,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScore_JER_up >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9735,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9148011663070708,0.9089323598389826,0.9040964161058495,0.06863824089475898,0.04770380350678974,0.04377141892794036,0.04371306725032584,0.043463375727198536
ggHH_kl_2p45_kt_1_HHbbVV,0.6684783958954693,0.6644282997521846,0.6611420125925964,0.05054449168727081,0.03495206848391522,0.031534433578685746,0.031474704474585086,0.031353902048774786
ggHH_kl_5_kt_1_HHbbVV,0.6962224788343129,0.6925232359293736,0.6901225253255585,0.035667161090213555,0.025227065748528107,0.021936139244008633,0.021868743518584186,0.021808814437309837
ggHH_kl_0_kt_1_HHbbVV,1.195063655467889,1.1869833532952432,1.180015454624401,0.087662602116573,0.06194802969352176,0.05647730464482885,0.05632931774806646,0.05596116778908167
VBFHHbbVV,0.017142810635160908,0.017044800758994144,0.016958839805810984,0.0010046299681863078,0.0007412967603747105,0.0004920269105882163,0.0004920269105882163,0.0004883486442530063
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.06053072424809,9.040203617175933,9.026108229589914,0.9562419781818883,0.718372003569649,0.32416575627602984,0.3233360661758491,0.321815366911251
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269120424149463,15.235924439515047,15.209051978791601,1.593771994925147,1.1978650331714982,0.5402393388897507,0.5385287771119677,0.5353550221132625
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.017385389144890753,0.01728575832958215,0.01720450952175448,0.0005950278202001055,0.00036757186511171205,0.00023316431368165466,0.00023316431368165466,0.00023215101344920656
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138205254076299,8.122409113893278,8.111440593820992,0.8837939571385812,0.6678341612359495,0.2966687426224863,0.2962260877679488,0.2950222524327841
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04621106714203778,0.045957878742758224,0.045716893051750467,0.0041274630219102475,0.003039519880086418,0.0017936661442541563,0.0017936661442541563,0.001787823072864204
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,4.867363695687485,4.85716519148699,4.8497104245656,0.5193832002121321,0.3920047260119548,0.17526166801719023,0.1748462704274952,0.17423100451974452
