,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMR_down >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9735,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9148011663070708,0.9089569871064302,0.9039095978553666,0.070611961348124,0.049332819856626686,0.04541526027785503,0.04535690860024051,0.045094899360312746
ggHH_kl_2p45_kt_1_HHbbVV,0.6684783958954693,0.6645552104862419,0.6613411332764368,0.051877132108824844,0.03579228544624629,0.032376711077725516,0.032305015637233224,0.0321666201835801
ggHH_kl_5_kt_1_HHbbVV,0.6962224788343129,0.6925909545267865,0.6897912774564408,0.03661235458790012,0.025855502951133563,0.02265967215833633,0.02259227643291188,0.022532347351637533
ggHH_kl_0_kt_1_HHbbVV,1.195063655467889,1.1869780819158964,1.179979106730611,0.09054677115337997,0.0643619071728452,0.05894538954106232,0.05879740264429994,0.05857591948395656
VBFHHbbVV,0.017142810635160908,0.017057515596418465,0.016953798033729275,0.0010253642670190685,0.0007477752514018752,0.0004964747353948156,0.0004964747353948156,0.0004927964690596056
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.06053072424809,9.041425423834797,9.026899501698114,0.9812600083577843,0.7363296824036902,0.3350333544585784,0.33424497828151983,0.33251301324384464
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269120424149463,15.236684057351848,15.208701521587559,1.6388143379259972,1.2323132312105998,0.5630289416644831,0.5613091899224584,0.5583149818721949
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.017385389144890753,0.01728815386310379,0.017203131133339978,0.0005975075100461552,0.0003701216548142581,0.00023290702044114462,0.00023290702044114462,0.00023189372020869652
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138205254076299,8.123287191192881,8.11222351080432,0.9103522336861001,0.6877764926628536,0.3096615341390993,0.309139464321706,0.3078861788366949
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04621106714203778,0.04596398382314275,0.04568517702092812,0.004226047615113624,0.0031239901479704277,0.0018524801594262015,0.0018524801594262015,0.0018466370880362492
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,4.867363695687485,4.8577847635524405,4.850361368108131,0.5348432020077031,0.40333253051990875,0.182497407788911,0.1820265385559206,0.18136302735855953
