,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMR_up >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9734,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.707604442651338,1.702520171625074,1.6982652728024297,0.16290070631335185,0.11228574498358258,0.09747843844543881,0.09730629405662011,0.09697500830381106
ggHH_kl_2p45_kt_1_HHbbVV,1.3241388200626198,1.3205865338699505,1.3179815656554148,0.12322994541172211,0.08487185303824724,0.07215924708678031,0.0720723338386656,0.07173100792915432
ggHH_kl_5_kt_1_HHbbVV,1.4508910488810343,1.4476068021072082,1.4442839363403324,0.09472063325861085,0.06478631211888512,0.055279653974389144,0.05520634203307359,0.05511416338999375
ggHH_kl_0_kt_1_HHbbVV,2.1477952506518774,2.1404933898792873,2.1353347498037487,0.19874947241886948,0.13550052361644782,0.11794868394198584,0.11775666217417954,0.11719553426816906
VBFHHbbVV,0.039351255043260674,0.03920695729906934,0.03907497453217168,0.003017715481732796,0.002122875727298342,0.0012392956059101032,0.001235268303090538,0.0012323116678080752
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.850774857519824,25.821883109051342,25.80402102276243,3.000325827126883,2.2618604775264624,0.9203697973388856,0.9185406536088492,0.9148931704697744
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,43.051166270215305,42.997215163068525,42.96260683262052,4.986222279389634,3.7424234284077795,1.5350385272702494,1.5317159749367601,1.5233846802537012
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04121564989235026,0.041054284373482686,0.04094876568163727,0.0018449600938259235,0.0013110605219061404,0.0007703411978417136,0.0007684797266035513,0.0007684797266035513
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.636072490178208,23.61028728937363,23.59518287714358,2.734835107974117,2.0575354534769823,0.827562518643562,0.8260949972494575,0.8225527869315622
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.09948955172295723,0.09916880555615576,0.09887153728314756,0.010719153235407692,0.007655974177246344,0.004216150832752833,0.004214778646493644,0.004184208612149484
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,13.992880700486808,13.976532185961757,13.96675801433889,1.612509571420473,1.2110467429252338,0.4909112820117585,0.48993827709350757,0.4875694210487267
