,Pre-selection,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.707604442651338,1.7027388014877949,1.698663049766168,0.034713401732938264,0.017626991979812764,0.01759953246481783,0.017537779013211754
ggHH_kl_2p45_kt_1_HHbbVV,1.3241388200626198,1.320836728851634,1.3183037659471453,0.03161593603527504,0.01610753470643439,0.016112406476409064,0.016076967309808312
ggHH_kl_5_kt_1_HHbbVV,1.4508910488810343,1.447807264380078,1.4444991415731718,0.02391164919289493,0.012428467638488493,0.012428467638488493,0.012428467638488493
ggHH_kl_0_kt_1_HHbbVV,2.1477952506518774,2.140961360940742,2.1359753311917182,0.04402434136002459,0.021989687253663234,0.021989687253663234,0.02190639680604705
VBFHHbbVV,0.039351255043260674,0.03924616046420164,0.03911989412167233,0.003435320033743531,0.001852942849989777,0.0018513773306868338,0.0018455700878739992
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.850774857519824,25.82400592855233,25.8066669240408,6.231424112904167,3.780909841027769,3.7768942851068816,3.7655575343311787
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,43.051166270215305,43.003309922715125,42.969311667108784,10.20506837495329,6.176045774966402,6.168137965142989,6.148502618481357
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04121564989235026,0.04107439305158276,0.04097565298208205,0.0018552141200300918,0.0010228210731534782,0.0010215980888296367,0.001020500419030411
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.636072490178208,23.61286589586387,23.598724767229626,5.819837096685987,3.5357210841320437,3.5312990322357027,3.5195502104577328
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.09948955172295723,0.0992020495099,0.0988927604781206,0.011982408440807365,0.006527108935331909,0.006527108935331909,0.0064712995275610545
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,13.992880700486808,13.977902824630755,13.96888511777085,3.4053363165236905,2.0650557790973996,2.062181798466992,2.0561365201149715
