,SF,sys_unc,np_unc,stat_unc,sj_pt_unc,dist,unmatched
HHbbVV,0.90 +0.19-0.13,0.0857128176287486,0.08432955911089313,0.019267112191195014,0.00031216552133188184,+0.02-0.01,+0.17-0.07
ggHH_kl_2p45_kt_1_HHbbVV,0.90 +0.18-0.13,0.09301940403383367,0.08077963278049424,0.01930779419706407,0.000412571659914324,+0.02-0.01,+0.16-0.07
ggHH_kl_5_kt_1_HHbbVV,0.90 +0.24-0.21,0.2094636721152896,0.0585821207572541,0.02774254057527675,0.0007764439429970015,+0.04-0.04,+0.15-0.07
ggHH_kl_0_kt_1_HHbbVV,0.91 +0.20-0.14,0.09699069394167774,0.08386400006679427,0.020126825580692714,0.0003391818000223571,+0.03-0.02,+0.18-0.08
VBFHHbbVV,0.93 +0.24-0.18,0.16192490824198444,0.05742004497165632,0.022946567252403165,0.0010071131461092502,+0.03-0.02,+0.19-0.08
qqHH_CV_1_C2V_0_kl_1_HHbbVV,0.95 +0.14-0.09,0.03888793709930172,0.06062370085179447,0.015087488632133633,0.005391121965213044,+0.00-0.01,+0.13-0.06
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,0.95 +0.14-0.09,0.04113678448812272,0.05978736532432869,0.015216044733385937,0.004913675457313432,+0.00-0.01,+0.13-0.06
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.90 +0.33-0.30,0.3122034366091503,0.033892491992337015,0.035415631481039,0.001821517815893176,+0.04-0.05,+0.19-0.09
qqHH_CV_1_C2V_2_kl_1_HHbbVV,0.95 +0.14-0.09,0.03667720933469059,0.057408306909393726,0.015044913489097944,0.005893742075091097,+0.00-0.01,+0.12-0.06
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.94 +0.22-0.14,0.09570451204100451,0.07453891310816484,0.019599449938600726,0.0008692702116360472,+0.02-0.01,+0.20-0.08
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,0.95 +0.14-0.09,0.03677789976017374,0.05862142287132676,0.016125163078233244,0.005442060926250635,+0.00-0.02,+0.13-0.06
