,SF,sys_unc,np_unc,stat_unc,sj_pt_unc,dist,unmatched
HHbbVV,0.80 +0.16-0.14,0.13937841665042017,0.09796898136478988,0.029089706740703807,0.0066444556671022515,+0.03-0.01,+0.11-0.05
ggHH_kl_2p45_kt_1_HHbbVV,0.80 +0.17-0.15,0.14861529986321775,0.0913846550201909,0.02876602366491398,0.007626960684267738,+0.03-0.00,+0.12-0.06
ggHH_kl_5_kt_1_HHbbVV,0.81 +0.26-0.25,0.2952979710319244,0.07779948836876684,0.038079446969542144,0.01001208503529307,+0.05-0.04,+0.09-0.05
ggHH_kl_0_kt_1_HHbbVV,0.83 +0.17-0.15,0.1514598706142239,0.09131675817778177,0.030195327796207955,0.005568274303805716,+0.03-0.01,+0.10-0.05
VBFHHbbVV,0.90 +0.31-0.21,0.19678426998533424,0.057041578340414296,0.02319322497598115,0.0036921628365945824,+0.02-0.02,+0.28-0.10
qqHH_CV_1_C2V_0_kl_1_HHbbVV,0.86 +0.23-0.12,0.08306439145153316,0.05384240863978447,0.018499526501987534,0.013273979580656405,+0.01-0.01,+0.24-0.09
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,0.86 +0.23-0.12,0.08729555892582991,0.05391757170128236,0.018955098668343343,0.013109554936807327,+0.01-0.00,+0.25-0.09
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.90 +0.38-0.32,0.3395941466997801,0.027814376145518932,0.03347805944376055,0.0067487630719541645,+0.03-0.03,+0.25-0.09
qqHH_CV_1_C2V_2_kl_1_HHbbVV,0.87 +0.23-0.12,0.08202517090625636,0.05131830252377439,0.017993437005320058,0.01317107804423581,+0.01-0.00,+0.25-0.09
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.90 +0.28-0.15,0.12493811868296366,0.05534201401652475,0.018270100692799964,0.0039224601706115735,+0.02-0.01,+0.27-0.10
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,0.87 +0.23-0.12,0.08555242921897885,0.051986731863285,0.01830906070915993,0.013664890487345862,+0.01-0.01,+0.24-0.09
