,Pre-selection,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,BDTScore_JES_down >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9714,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.6759612895422047,1.666468234883693,1.6589532192194563,0.170403146214064,0.11910665478842655,0.10547443540519258,0.10533424364572251,0.10480272359895763
ggHH_kl_2p45_kt_1_HHbbVV,1.2648588173264859,1.2586753580761936,1.2542438025650344,0.12550145137210084,0.08724188071099412,0.07668548239971074,0.07658707908314885,0.07627393741797915
ggHH_kl_5_kt_1_HHbbVV,1.3332206987541166,1.3268342817559162,1.3215964844896422,0.0913326188071037,0.062463933225587374,0.054809888957863095,0.05475663143749863,0.05463353256326813
ggHH_kl_0_kt_1_HHbbVV,2.1451073030732752,2.1322315313998526,2.1214995657305935,0.20868793697487492,0.1429522913753635,0.12657441426938518,0.1263478258140775,0.12537558231035148
VBFHHbbVV,0.034040204061650904,0.03384862601096976,0.03369675213511948,0.0025526735027653403,0.001930819485814294,0.0011274933412973327,0.0011216839824390616,0.0011105893183444807
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.759082011938688,20.717090837124427,20.688288646849628,2.6634991850718497,2.01469469555032,0.8433441442801731,0.8413976739867888,0.8376122707963873
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.7875735683353,34.71274254480236,34.66443232603068,4.475647029995817,3.397339580120649,1.4436363011009528,1.440524970294463,1.4324632475385402
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0349561589792886,0.03473620369665886,0.03460425387072417,0.0015512019758492463,0.0010632902786444963,0.0006762069388457947,0.0006760655435579476,0.0006675353371819845
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.90294126701765,18.86730051427866,18.845342868292377,2.467965883430435,1.870016605139811,0.7725733782789033,0.770962669464231,0.7672236381404194
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08896585213302885,0.0884662352365787,0.08800136503926469,0.009605724150452619,0.006994732234916493,0.0038664650371085007,0.0038511076611966646,0.003825948966892733
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,11.226364369967204,11.204614525476307,11.189951535303665,1.462443075483596,1.1067800780835273,0.462702737474934,0.4618200763316602,0.4598050103036763
