,Pre-selection,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,BDTScore_JES_up >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9714,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.6759612895422047,1.6755863889026215,1.6753489384450617,0.17072086317689608,0.1192618489969434,0.105599689968084,0.10547181008794577,0.10489941290204684
ggHH_kl_2p45_kt_1_HHbbVV,1.2648588173264859,1.2646281844240221,1.264526949675925,0.12603544163800487,0.08766704826710793,0.07709176228639786,0.07698721271749066,0.07667283959767793
ggHH_kl_5_kt_1_HHbbVV,1.3332206987541166,1.3330370290340967,1.3328501897674974,0.09197714103784146,0.06284713268191992,0.05520014723107562,0.0550979716365418,0.054974872762311305
ggHH_kl_0_kt_1_HHbbVV,2.1451073030732752,2.1446404192761883,2.144279422242817,0.21087903838628433,0.1452163536419546,0.12870378959915404,0.128459405301349,0.12749869355389964
VBFHHbbVV,0.034040204061650904,0.03403461271287648,0.03402990443058806,0.0025800854684224763,0.0019490367208277544,0.0011459869279747082,0.0011401775691164372,0.0011287078308055102
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.759082011938688,20.7571914764134,20.756364340191308,2.6682707477689593,2.0150941980941903,0.8438738902156944,0.8419708489638673,0.8379686434087146
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.7875735683353,34.78397802876074,34.782880615922885,4.488052095391048,3.4017655898426398,1.4440219687053117,1.440903596550756,1.432965090390391
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0349561589792886,0.034954357028150244,0.03494645042749721,0.00155318823629629,0.0010585924834000152,0.0006762626040544885,0.0006761212087666414,0.0006675910023906784
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.90294126701765,18.90099638276629,18.900221489541146,2.4701526955024975,1.8713603252242972,0.7725296559236209,0.7708645379216404,0.7672090444239779
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08896585213302885,0.08895254318039318,0.08892652783340338,0.009668032898771496,0.007045764956879997,0.003907721185475287,0.0038923638095634512,0.0038672051152595197
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,11.226364369967204,11.22489685307161,11.22449739264124,1.4667368407177253,1.1095988988954617,0.46426932718734926,0.46334288962993486,0.46128720771406406
