,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMS_up >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9714,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.6759612895422047,1.6710440867840302,1.6669042407462995,0.16992297969609554,0.11876468219301266,0.10508943496601997,0.10496155508588173,0.10439409330010663
ggHH_kl_2p45_kt_1_HHbbVV,1.2648588173264859,1.261824665802835,1.2596759191113927,0.1258807552720627,0.08741987480848035,0.0768284743994976,0.07671193637477905,0.07639302974266818
ggHH_kl_5_kt_1_HHbbVV,1.3332206987541166,1.3296435101641653,1.327003185268209,0.09075805669485495,0.06200621042204189,0.05449893911599325,0.054445681595628785,0.05436773472036577
ggHH_kl_0_kt_1_HHbbVV,2.1451073030732752,2.1386686297940076,2.1336404933361868,0.2087963086063843,0.14328558241914136,0.12691436364497358,0.1266844497407847,0.1257563080028937
VBFHHbbVV,0.034040204061650904,0.03394017428372224,0.033865410799616094,0.0025632990775780245,0.0019363310897991762,0.0011384227748657096,0.0011326134160074388,0.0011211436776965115
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.759082011938688,20.738024841146384,20.72397824978978,2.6622475029670776,2.0106596911999253,0.8423288117118962,0.8404176446000421,0.8365578299623089
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.7875735683353,34.749979070314005,34.725639302628466,4.487090262648986,3.4063696833517763,1.4503827262405196,1.4472713954340302,1.4393899554373446
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0349561589792886,0.03484718891755414,0.03479088904760456,0.0015703844959675465,0.001079113123552608,0.0006921813528202942,0.0006920399575324471,0.0006835097511564841
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.90294126701765,18.884521982052938,18.873229234391513,2.4729451555448194,1.8741779935706302,0.7741608357261159,0.7725514183529378,0.769010955310667
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08896585213302885,0.08869816364046831,0.08844079000849456,0.009605122565174803,0.006992906525845588,0.003881982926004395,0.00386662555009256,0.003841466855788628
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,11.226364369967204,11.215096339103239,11.207686939618187,1.4659458477524663,1.1093641187182006,0.46286921279455473,0.4619900301991815,0.4600145706743387
