,Pre-selection,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,bbFatJetParticleNetMD_Txbb >= 0.9734,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.707604442651338,1.6966198143049642,1.68820892439689,1.1304078148789354,1.1286880291310954,1.1230980497240137
ggHH_kl_2p45_kt_1_HHbbVV,1.3241388200626198,1.3168027370788489,1.3113134897190504,0.8541240924009028,0.8529108122533953,0.8486392265474854
ggHH_kl_5_kt_1_HHbbVV,1.4508910488810343,1.442764967777921,1.4355512486293005,0.7832042402454935,0.7820984801686118,0.7785037022675636
ggHH_kl_0_kt_1_HHbbVV,2.1477952506518774,2.1329845815444646,2.121678252805349,1.4120637651934589,1.4097205438273621,1.403343619478495
VBFHHbbVV,0.039351255043260674,0.03904325080138763,0.03880557089355434,0.025108907196060917,0.02506464240006457,0.024928280817224764
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.850774857519824,25.790621748441275,25.753303973004343,18.88588542478954,18.852293037845204,18.775457758184263
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,43.051166270215305,42.940306900824716,42.869723650464074,31.368653199314934,31.307800972066705,31.169025450538697
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04121564989235026,0.040877406190038816,0.040676266480554404,0.020892907723210168,0.020825539783619892,0.020721502770886878
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.636072490178208,23.580755411501826,23.54821721313965,17.276175067576617,17.245082754124617,17.17265763655529
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.09948955172295723,0.0988816104239717,0.09820720438405706,0.0681393816644625,0.06794821422722302,0.0675655386210404
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,13.992880700486808,13.959763769982018,13.940085145498555,10.19511432505261,10.177039976562712,10.134428422166014
