,SF,sys_unc,np_unc,stat_unc,sj_pt_unc,dist,unmatched
HHbbVV,0.91 +0.19-0.13,0.08123468691858841,0.030252862006090443,0.0193292732378949,0.00035701839035033486,+0.09-0.08,+0.17-0.08
ggHH_kl_2p45_kt_1_HHbbVV,0.92 +0.20-0.13,0.07966736811330614,0.027604502354447863,0.018537061227468857,0.0006428695365078029,+0.08-0.07,+0.18-0.08
ggHH_kl_5_kt_1_HHbbVV,0.93 +0.24-0.20,0.16214880742802387,0.017149394778125146,0.024941835808249525,0.0009846821738495432,+0.10-0.12,+0.17-0.08
ggHH_kl_0_kt_1_HHbbVV,0.93 +0.21-0.14,0.08871968465001699,0.028878636525712945,0.02025895751082982,0.0005247136519067679,+0.09-0.08,+0.18-0.08
VBFHHbbVV,0.94 +0.22-0.18,0.14735320716547298,0.009940110385878664,0.02343099051954162,0.001574779235796463,+0.07-0.08,+0.16-0.07
qqHH_CV_1_C2V_0_kl_1_HHbbVV,0.99 +0.17-0.08,0.02035720372210581,0.020806185128322986,0.015231335509378097,0.008226915007050271,+0.02-0.00,+0.17-0.07
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,0.99 +0.17-0.08,0.02781632986358411,0.019295539190620138,0.015533116501966367,0.007220376283898711,+0.02-0.01,+0.17-0.07
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.95 +0.32-0.32,0.2805325148741955,0.00609501868081193,0.03359256346953077,0.0023491795657048353,+0.12-0.18,+0.13-0.06
qqHH_CV_1_C2V_2_kl_1_HHbbVV,1.00 +0.18-0.07,0.012878236129709595,0.01754786057089663,0.015836026196939357,0.00917389857520856,+0.02-0.00,+0.17-0.07
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.97 +0.19-0.12,0.07389352702366035,0.02483267140112396,0.0195677036786137,0.0016126748679929665,+0.07-0.06,+0.16-0.06
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,0.95 +0.17-0.08,0.02711843296150455,0.021690182024943737,0.01803852127284084,0.0076256464270148495,+0.01-0.00,+0.17-0.07
