,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMS_up < 145,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,121417.26502122637,10017.883357305836,381.675137489815,381.675137489815,381.675137489815,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,9496.845272705345,637.2587370242449,26.524195064877603,23.07123265430694,22.429632084361586,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,836.5159410263035,66.13277044664143,3.3810713298396102,3.1245728025372475,2.987352941153344,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,904.866664704832,56.302290357547705,4.744310810748418,4.744310810748418,4.744310810748418,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,1391.9891083746422,252.97055914578505,8.710624652416739,8.710624652416739,8.710624652416739,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,41.745361018703264,8.656261482664794,0.0817828490005958,0.0817828490005958,0.0817828490005958,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,53.11111923494896,27.792830678440094,0.7566098625968669,0.7566098625968669,0.7566098625968669,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,16.089896219885603,8.968152751125741,0.1966750232929772,0.1966750232929772,0.1966750232929772,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,13.736372358843724,7.184782733409727,0.3881837205619354,0.3881837205619354,0.3881837205619354,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,26.39795975316002,13.528208808787754,0.9900293216158014,0.9887452130326132,0.9827070565685865,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,1.6437248898949735,0.7637623098801715,0.0302969304902376,0.0302969304902376,0.02977207314127319,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,35.52300130087308,11.357389499189336,0.48670450216060956,0.4610052838275839,0.409614175831721,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,12.066349680396204,0.8157818528699492,0.13003233362306063,0.12625163609829407,0.12086232631737037,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,8329.0,369.0,366.0,361.0,121852.0
