,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,150844.44413194177,139516.34000529174,135564.43900338165,135385.29664950707,134835.65659608637
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,11246.878064510032,10470.231488243966,9972.472078258816,8807.305653958641,7943.623095715971
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1013.0125182046745,930.1925043918749,884.1419174063042,803.5710050077112,736.1061487846172
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1722.2409898238698,1597.944771560963,1512.981125072115,1508.9768312549468,1505.0609937673912
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,3699.3170823967507,2451.1634254891715,2371.5494251881355,2365.669900524066,2356.507694092046
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,174.9538603327651,115.82563521949456,110.1193105373895,103.68802902206411,98.81264423929167
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,15.170117643312672,8.931845926377445,8.617720589659857,8.603140214779529,8.519044246345304
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,5.209541450995167,2.793394496845897,2.7291361669211254,2.704062441434411,2.6840932031597804
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,6.176976753587951,3.0431941413091534,2.931851890770926,2.9168916865027352,2.8985371040461683
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,8.359882171514665,4.907186443420677,4.566306969409187,4.5485067237052546,4.523992048516008
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,0.9221383158471421,0.5729266594717716,0.557194738886929,0.5560383032807955,0.5527753926090553
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,27.249196579918056,22.38466946786417,21.41302556110927,18.637125666265117,16.36793516243457
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,14.976049371190502,13.543133215561149,11.753102089067792,9.573287307869204,8.144142087712792
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,148881.0,137907.0,130877.0,129236.0,127724.0
