,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,900603.3727572492,1219440.080463653,925130.7098052665,804133.2682482771,697193.3904329769,155297.85127099222,143600.39753983842,139439.00703523163,139259.8646813571,138677.983624903,,,
TT,76537.02908224257,76537.02908224257,63293.829774565675,54070.233788486286,49559.310461325455,11577.124986557272,10780.37852956202,10269.497190362868,9067.946551618117,8170.052108146243,,,
ST,6617.229257123121,6617.229257123121,5398.289445526995,4757.109074073118,4403.390399266753,1040.5511922622409,956.1921425299021,908.6031373470701,825.5237138666614,754.6942259589351,,,
W+Jets,12421.273275458932,12421.273275458932,10220.743366223162,9052.57934642135,8176.198484816143,1763.005377581443,1636.2061545922134,1549.0468305909253,1545.0425367737573,1541.0617756579918,,,
Z+Jets,14717.02364266734,14717.02364266734,11782.081301630982,10482.15974538318,9443.621822815534,3793.1727716346077,2515.962528147842,2433.4534408540603,2427.263339237554,2417.6384558977197,,,
Diboson,703.6912877316817,703.6912877316817,570.169476883156,515.5452934289559,467.26876511247815,177.88243423525262,118.13385660936197,112.19383038381584,105.6607090089483,100.78532422617587,,,
ggFHbb,138.81856362723408,138.81856362723408,114.57698729067809,97.00477625583129,85.48363225138431,15.707484049450187,9.261903327434608,8.94777799071702,8.933197615836692,8.849101647402467,,,
VBFHbb,40.60062332311162,40.60062332311162,34.11696307749374,30.627290695490647,28.201896821218824,5.41583817500918,2.926845739738384,2.862587409813612,2.837513684326898,2.8175444460522674,,,
ZHbb,38.56092725636813,38.56092725636813,31.615386008244307,28.86572461009839,25.91321120278385,6.322921207193183,3.1327099972698482,3.018432796925838,3.00213191563913,2.9824917302957172,,,
WHbb,66.232275837835,66.232275837835,54.025327933073534,50.023998922699356,44.92143076370291,8.564228064143602,5.036604202180137,4.6870841940832495,4.6692839483793165,4.642531668824587,,,
ggZHbb,5.921431593700421,5.921431593700421,4.892898443720664,4.318368215589913,3.968164185800416,0.9407271180854362,0.5853107130442861,0.5687059637096834,0.5672442792863119,0.5635533967085217,,,
ttHbb,187.9810602386041,187.9810602386041,158.72919113125147,137.40247129651553,129.51262214923167,27.963109621683287,22.98797012776048,21.98864221712578,19.131864424020765,16.802358396884397,,,
HWW,97.55810924622654,97.55810924622654,82.39171998279944,69.93363430054482,65.73738608356354,15.366574006508955,13.904286823595747,12.081464350937125,9.84696459505275,8.35630146071085,,,
Data,1331012.0,1331012.0,,,,148881.0,137907.0,130877.0,129236.0,127724.0,964614.0,800395.0,681593.0
