,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,110 ≤ bbFatJetParticleNetMass < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,900603.3727572492,1219440.080463653,909928.9429965606,785236.0652000139,679205.6226592734,147551.7844428238,136219.71469271922,132794.9506849444,132556.760748365,132108.60138643422,,,
TT,76537.02908224257,76537.02908224257,62557.36315546046,53000.20343567669,48474.764998012986,11492.33155783179,10682.754516606537,10180.595737937443,8807.620253676434,7957.170864064186,,,
ST,6617.229257123121,6617.229257123121,5335.947878225384,4671.093017370051,4316.329167356108,1017.9835318536935,956.7334505299783,909.673149618334,808.5156670448885,747.5200549439699,,,
W+Jets,12421.273275458932,12421.273275458932,10085.632255578521,8872.840668642282,8000.8098146950315,1185.8071308458264,1112.821326966788,1043.482723441865,1040.6684274544082,1037.7696158916733,,,
Z+Jets,14717.02364266734,14717.02364266734,11607.577832738309,10264.437247619908,9237.457278939428,1636.9159217657323,1341.0206020595192,1288.6348660367212,1285.4385055749174,1277.734824803243,,,
Diboson,703.6912877316817,703.6912877316817,561.935848304568,505.49172874834346,459.1384749004718,46.21216288148655,35.3069480243668,33.421434293695825,31.734353479201054,31.114248174749807,,,
ggFHbb,138.81856362723408,138.81856362723408,112.79813188249241,94.68291189158188,82.8868055056263,60.11475735441073,29.134436054250017,28.547070113018556,28.438177205431046,28.236462019531807,,,
VBFHbb,40.60062332311162,40.60062332311162,33.71831610558429,29.970272986083934,27.44394612122658,20.226584191161667,9.23848746374502,8.968805795995916,8.944827265908314,8.900516467785616,,,
ZHbb,38.56092725636813,38.56092725636813,31.207671731688173,28.323667474001752,25.372757979720827,15.754360222326703,7.233294593335491,6.8413864631377335,6.8211783987585735,6.78663337235848,,,
WHbb,66.232275837835,66.232275837835,53.23241685245674,49.03526487505052,43.95718730461949,30.64950280859759,14.809351730967784,13.861990698521561,13.842772255841085,13.780890225164798,,,
ggZHbb,5.921431593700421,5.921431593700421,4.832810364534362,4.242572613666432,3.8970104086368287,1.9990916142473552,1.021700791956153,0.9840841556998033,0.9814084898944411,0.973966692816259,,,
ttHbb,187.9810602386041,187.9810602386041,157.13026669900506,134.917050892509,126.98431520212135,42.45719217174663,28.78156944775697,27.485847966862025,23.85228321914125,20.668153838876094,,,
HWW,97.55810924622654,97.55810924622654,81.60624241757364,68.68589895431575,64.49322604480872,14.85697468614639,13.787277974524226,12.236846896410107,9.833955452501918,8.214905271688838,,,
Data,1331012.0,1331012.0,,,,146205.0,136050.0,128926.0,127045.0,125535.0,964614.0,800395.0,681593.0
