,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,110 ≤ bbFatJetParticleNetMass < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,900603.3727572492,1219440.080463653,891144.3378915427,764515.4088506277,658590.7999698566,143071.31571250263,132055.28942859458,128722.15111381846,128493.69344568072,128060.49721118904,,,
TT,76537.02908224257,76537.02908224257,61643.520317374954,51767.87640926163,47197.359772505464,11078.967984769424,10295.56662449661,9810.734191749358,8488.85904643303,7678.767066025071,,,
ST,6617.229257123121,6617.229257123121,5254.474629159514,4567.45379632109,4212.315486083902,985.6271533297969,926.6280456933478,880.7291901194482,782.0544431802416,723.8760767225458,,,
W+Jets,12421.273275458932,12421.273275458932,9930.27957124093,8684.147747290066,7810.028753295391,1150.1473958692131,1078.0749383714128,1010.9547267647193,1008.1404307772626,1005.5403803636855,,,
Z+Jets,14717.02364266734,14717.02364266734,11404.377278988306,10029.32608423193,8997.609991526173,1585.9067179171514,1299.1638435790521,1248.4393372183408,1245.242976756537,1237.828571986598,,,
Diboson,703.6912877316817,703.6912877316817,553.9712694893171,496.4903193427446,447.9709035533566,44.93889597213475,34.41917804916223,32.533664318491255,30.846583503996488,30.226478199545234,,,
ggFHbb,138.81856362723408,138.81856362723408,111.0307271374711,92.34764770865891,80.16529532577692,58.31638260681774,28.112053377285882,27.52468743605442,27.41579452846691,27.214079342567672,,,
VBFHbb,40.60062332311162,40.60062332311162,33.17661342310452,29.329301119043762,26.86503656867488,19.812470980220528,9.074547571503253,8.817625669711475,8.793647139623875,8.749336341501177,,,
ZHbb,38.56092725636813,38.56092725636813,30.702451413498945,27.749973688582923,24.76634484430791,15.362457296954439,7.025260789897533,6.647418272115015,6.628850189358201,6.595368921686466,,,
WHbb,66.232275837835,66.232275837835,52.34849883589009,48.00923913075064,42.91419728489369,29.91569566932147,14.466050751679909,13.551109172090484,13.53516285768261,13.476634370113807,,,
ggZHbb,5.921431593700421,5.921431593700421,4.756811358456442,4.149365973253625,3.80139940055146,1.940982767315837,0.9920830731883117,0.9558369587609952,0.9536700926770103,0.9462282955988282,,,
ttHbb,187.9810602386041,187.9810602386041,155.23529404721012,132.16437705519579,124.11317849265582,41.251559481141655,27.90567436275128,26.636417325128598,23.106848557263945,20.035846149790324,,,
HWW,97.55810924622654,97.55810924622654,80.64195733631051,67.21396952981553,62.96178288060745,14.358142592974737,13.330750859192426,11.812850667992306,9.494774782471666,7.923440760629776,,,
Data,1331012.0,1331012.0,,,,146205.0,136050.0,128926.0,127045.0,125535.0,964614.0,800395.0,681593.0
