,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMR_up < 145,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
QCD,900603.3727572492,1219440.080463653,909185.3145255053,785054.5356127718,678194.2308224144,147194.2319552636,11298.228144800914,349.73586760030975,349.73586760030975,349.73586760030975,
TT,76537.02908224257,76537.02908224257,62502.907179032714,52946.44118724975,48398.12552510731,11585.099577565936,816.1552349517016,34.36325456786672,31.448222475412777,29.874964176065305,
ST,6617.229257123121,6617.229257123121,5333.643795722104,4669.500953646956,4312.439887332558,1013.6180288517357,62.34306562259661,3.232703028392692,3.232703028392692,2.8853303834942072,
W+Jets,12421.273275458932,12421.273275458932,10081.530468318728,8872.908216423553,7994.970353499412,1199.9137552551088,74.27014770656623,6.762043889581633,6.762043889581633,6.762043889581633,
Z+Jets,14717.02364266734,14717.02364266734,11596.248313731177,10258.959442762889,9225.01768924558,1757.778794163175,352.82208467755356,11.880749420640178,11.880749420640178,11.880749420640178,
Diboson,703.6912877316817,703.6912877316817,562.2263678811394,506.0471652477355,457.8809851445909,54.9793609067747,15.6367975459331,0.679089027379416,0.679089027379416,0.679089027379416,
ggFHbb,138.81856362723408,138.81856362723408,112.60843567952179,94.594807891947,82.77402126573345,55.28781878152936,28.531619062649455,0.5030013443688439,0.5030013443688439,0.5030013443688439,
VBFHbb,40.60062332311162,40.60062332311162,33.64066881007546,29.92243782651147,27.43908043036217,19.008411348677015,10.244821153450925,0.29620112724017306,0.29620112724017306,0.29620112724017306,
ZHbb,38.56092725636813,38.56092725636813,31.201096827055522,28.327419717518335,25.341736768545154,14.893650695136248,8.036043972187628,0.4345909503938722,0.43328294198130046,0.43328294198130046,
WHbb,66.232275837835,66.232275837835,53.1747239460968,49.03210061589495,43.92375773929534,28.56067931884754,14.737055216615097,1.0790822724563744,1.0780647654183415,1.0723442811938981,
ggZHbb,5.921431593700421,5.921431593700421,4.834218950591498,4.243272703271217,3.8953094791319236,1.9111180442943247,0.9286181739236784,0.03489787753847062,0.03489787753847062,0.0342718509122154,
ttHbb,187.9810602386041,187.9810602386041,157.06411137377214,134.84019593486616,126.88588505779538,41.28515884238369,12.863178969495586,0.513207160278025,0.47421042222902887,0.4271735813330142,
HWW,97.55810924622654,97.55810924622654,81.55463845285882,68.6128079486553,64.37376962349865,14.7612808068071,1.031588022636368,0.14195178724095703,0.12895546023408827,0.12086140976775642,
Data,1331012.0,1331012.0,964614.0,800395.0,681593.0,,10155.0,514.0,509.0,509.0,146205.0
