,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,1117757.9198795077,1251971.8257647846,1099012.7199024037,1010557.3865396243,949392.4030456147,208019.40354728085,191125.98309091874,185257.5750210239,184867.69340527034,183969.08403386196,,,
TT,114729.520688572,114729.520688572,103191.20191184334,92840.08833303611,89611.88510287431,20924.480870011037,19570.11378762175,18630.432728062857,16250.815610786294,14521.860009928596,,,
ST,9991.097357360095,9991.097357360095,8876.562993362075,8184.589479741274,7923.9598540277475,1836.2099961673255,1707.706190549388,1613.4650470036977,1443.3093447651572,1303.6512072429366,,,
W+Jets,14710.822213085146,14710.822213085146,13396.534931934088,12425.23812743614,11916.488443329912,2423.400306226925,2247.5889499086616,2087.8589275781815,2082.2749381835642,2071.714745825789,,,
Z+Jets,21597.004857058182,21597.004857058182,19300.288097552362,17935.77203458006,17145.081573721967,6892.510163845992,4495.389539100585,4307.913752528258,4298.653335993729,4274.839650289094,,,
Diboson,936.1606241609029,936.1606241609029,850.8501661912385,803.2913693057035,771.9883644407507,277.3610134036809,174.4126943381421,168.0588456252988,157.9980803916116,146.08411283827698,,,
ggFHbb,224.56874142701201,224.56874142701201,204.68202417304877,184.94624192346618,175.29115301868828,32.14729574414156,18.87801590669573,18.36784303969068,18.33081476769585,18.126393710093687,,,
VBFHbb,66.27722451912622,66.27722451912622,60.62062480404775,56.15355779194064,54.04824306677838,8.591333072850574,4.653486955580512,4.567137762621593,4.537560020572621,4.420343625084942,,,
ZHbb,63.465766584473805,63.465766584473805,57.635540215906765,54.55744342646091,52.12111169624213,11.771112122932662,6.056794425500858,5.772462920952547,5.765363321727521,5.68161338442507,,,
WHbb,108.86564442012758,108.86564442012758,98.45557809636797,94.2170323002978,90.11208563154022,15.925133254719306,9.59936851692018,8.933640559757889,8.909686799334661,8.822933764793206,,,
ggZHbb,9.5080271296301,9.5080271296301,8.537972606076476,7.869087631845407,7.59027263606386,1.7671810405172201,1.1067798939646734,1.065171006277072,1.0625329076643082,1.0525379809399504,,,
ttHbb,312.2634270090423,312.2634270090423,279.8295542589564,251.04564243275024,245.18197187027914,51.631507677810816,43.05751257755402,41.394861967712714,36.06018292444081,31.510145169751176,,,
HWW,150.6196638895773,150.6196638895773,135.6185484608632,119.82393811275331,116.78543137409841,27.30571425821224,24.619719128746844,21.2773100036926,17.14299132797842,14.08968582804205,,,
Data,1414872.0,1414872.0,,,,256609.0,235981.0,223959.0,220553.0,217416.0,1283242.0,1192162.0,1159898.0
