,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,1117757.9198795077,1251971.8257647846,1105549.59370053,1021329.7516689496,960667.4731143379,210525.4698091174,193471.13797774064,187531.32640900998,187136.76827159495,186202.24745008437,,,
TT,114729.520688572,114729.520688572,103599.74745728384,93619.3003460447,90459.03080824536,21162.215422147954,19792.057299723238,18841.044676899524,16439.791103766507,14688.731969714863,,,
ST,9991.097357360095,9991.097357360095,8912.732392153413,8241.245864575521,7984.7180717082765,1855.7583207891419,1726.4422252167208,1630.5846940720558,1458.373642445557,1316.6285557805315,,,
W+Jets,14710.822213085146,14710.822213085146,13457.618013566465,12524.789518194004,12021.64481310384,2444.7244211402344,2267.8687600903613,2106.975756652683,2101.1494803532905,2090.589287995516,,,
Z+Jets,21597.004857058182,21597.004857058182,19400.58851275338,18095.476586413675,17312.991950153075,6958.42612725041,4539.972745370348,4350.627220822005,4341.266590559635,4317.134192006761,,,
Diboson,936.1606241609029,936.1606241609029,854.0576235376294,808.9537912480199,777.1374693034588,278.9258587430126,175.57843775970102,168.95097395527142,158.89020872158426,146.97624116824963,,,
ggFHbb,224.56874142701201,224.56874142701201,205.7732416903081,186.84217323885284,177.35265561665736,32.551918709382576,19.120300448784516,18.61012758177947,18.573099309784638,18.35551397243517,,,
VBFHbb,66.27722451912622,66.27722451912622,60.98406856544045,56.74996505823215,54.675112016044,8.747782384013702,4.74675239196628,4.651810186907526,4.622232444858556,4.505016049370875,,,
ZHbb,63.465766584473805,63.465766584473805,57.940243991699205,55.02203318462641,52.61910730778478,11.91122063742738,6.140612877099178,5.849287001597055,5.84218740237203,5.757562534118536,,,
WHbb,108.86564442012758,108.86564442012758,98.98339434176201,94.9793552018583,90.88833922234261,16.07520329290697,9.685085862986025,9.011557239331417,8.98760347890819,8.897638972833388,,,
ggZHbb,9.5080271296301,9.5080271296301,8.57626932635681,7.9288841785111615,7.653663143159653,1.7818431403837687,1.1139416091123495,1.0723327214247482,1.0696946228119844,1.0598463733454353,,,
ttHbb,312.2634270090423,312.2634270090423,281.02384923469947,253.23244305144075,247.58797473486015,52.226307668938695,43.58305056029538,41.89732555255462,36.52758455024779,31.901414731910556,,,
HWW,150.6196638895773,150.6196638895773,136.159076295388,120.83599124728971,117.84837269088797,27.586932119985757,24.870184962160092,21.511460487348366,17.32152789213762,14.233373303966303,,,
Data,1414872.0,1414872.0,,,,256609.0,235981.0,223959.0,220553.0,217416.0,1283242.0,1192162.0,1159898.0
