,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 350,VVFatJetPt_JER_up >= 350,bbFatJetPt_JER_up >= 400 or VVFatJetPt_JER_up >= 400,110 ≤ bbFatJetParticleNetMass < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,1117757.9198795077,1251971.8257647846,1099012.7199024037,1010557.3865396243,949392.4030456147,205708.04858375425,188298.08775042233,182322.85814109456,182015.23673149326,181146.75304673912,,,
TT,114729.520688572,114729.520688572,103191.20191184334,92840.08833303611,89611.88510287431,21706.54712243536,20302.6467311562,19340.16369651859,16491.637392431796,14755.965206808143,,,
ST,9991.097357360095,9991.097357360095,8876.562993362075,8184.589479741274,7923.9598540277475,1899.5845030166925,1776.8656639818519,1664.9578049029187,1465.5183784103808,1330.2583635775993,,,
W+Jets,14710.822213085146,14710.822213085146,13396.534931934088,12425.23812743614,11916.488443329912,1744.0197671309638,1635.4953648285339,1504.412899118921,1499.704564112224,1493.6199765138726,,,
Z+Jets,21597.004857058182,21597.004857058182,19300.288097552362,17935.77203458006,17145.081573721967,2863.6444747773216,2353.281547126041,2246.013585156939,2240.097497961615,2221.9329666589592,,,
Diboson,936.1606241609029,936.1606241609029,850.8501661912385,803.2913693057035,771.9883644407507,84.29908840504254,63.68733308189018,60.43086855767353,57.421505960159166,53.57623402160715,,,
ggFHbb,224.56874142701201,224.56874142701201,204.68202417304877,184.94624192346618,175.29115301868828,129.60365501185956,62.282736431093255,60.78349754954571,60.660004365760976,60.37783108646359,,,
VBFHbb,66.27722451912622,66.27722451912622,60.62062480404775,56.15355779194064,54.04824306677838,42.04035894599596,18.566330062839132,18.020503216747343,17.980373634340257,17.805087228140138,,,
ZHbb,63.465766584473805,63.465766584473805,57.635540215906765,54.55744342646091,52.12111169624213,33.24035813408497,15.24335183149094,14.383649670819558,14.353199971478254,14.239282405098518,,,
WHbb,108.86564442012758,108.86564442012758,98.45557809636797,94.2170323002978,90.11208563154022,65.11957234901351,31.387574975140677,28.884834453829786,28.820690973522492,28.645389154833993,,,
ggZHbb,9.5080271296301,9.5080271296301,8.537972606076476,7.869087631845407,7.59027263606386,4.021812369290529,2.1116659811691285,2.0202197495810186,2.0130168946391427,1.9954021720569852,,,
ttHbb,312.2634270090423,312.2634270090423,279.8295542589564,251.04564243275024,245.18197187027914,85.90537545549576,57.8738719846752,55.29392175612828,47.33261061986214,40.832977230760896,,,
HWW,150.6196638895773,150.6196638895773,135.6185484608632,119.82393811275331,116.78543137409841,26.673734762892714,24.955343637197675,22.078576692702914,17.374191266615675,14.292700050965,,,
Data,1414872.0,1414872.0,,,,252182.0,232402.0,220694.0,216722.0,213592.0,1283242.0,1192162.0,1159898.0
