,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,110 ≤ bbFatJetParticleNetMass < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,1117757.9198795077,1251971.8257647846,1089263.6015733394,997356.7293659851,930808.8629285059,201858.413288472,184761.42969915815,178913.65158279747,178617.3384363401,177796.4231160412,,,
TT,114729.520688572,114729.520688572,102488.99259953517,91636.58581004354,88074.61034949859,21181.178143063724,19809.895405875508,18869.646321840086,16096.148784706384,14419.716507394547,,,
ST,9991.097357360095,9991.097357360095,8813.979477349261,8090.8633238099565,7802.3722044939195,1858.203202470459,1738.8560367935142,1628.286214886386,1433.0579573785192,1301.4763024219733,,,
W+Jets,14710.822213085146,14710.822213085146,13309.997236844787,12289.8028470679,11732.614807501395,1715.0983275540866,1608.7351830290088,1479.136174431972,1474.5032177026565,1468.5612936051555,,,
Z+Jets,21597.004857058182,21597.004857058182,19150.920965168283,17725.883886021395,16861.14716378858,2808.8347479108234,2308.6955886525748,2203.452777789868,2197.6984773965996,2179.757696610296,,,
Diboson,936.1606241609029,936.1606241609029,844.4338248758528,795.8565281877022,761.4684852741487,82.81593384425611,62.91464453334769,59.65818000913102,56.648817411616676,52.80354547306465,,,
ggFHbb,224.56874142701201,224.56874142701201,203.17491515262697,182.51006921333993,172.00538108694283,127.15406382007103,60.95699174292672,59.46899043713352,59.345497253348796,59.0872175533397,,,
VBFHbb,66.27722451912622,66.27722451912622,60.283927123911184,55.48463027564431,53.20421045499424,41.467323142884425,18.335267512378053,17.82290341978842,17.78277383738134,17.60748743118122,,,
ZHbb,63.465766584473805,63.465766584473805,57.226156792374354,54.01226272805952,51.30995660160751,32.713821653710035,14.999033168334687,14.153441217642005,14.123552036052205,14.014209913437385,,,
WHbb,108.86564442012758,108.86564442012758,97.71271985447412,93.29532734761905,88.73211078186525,64.13362048487399,30.852657646725316,28.38261824100897,28.318493036324256,28.146016444501782,,,
ggZHbb,9.5080271296301,9.5080271296301,8.481146692985588,7.78090427018692,7.479060679939495,3.956094899875165,2.077442800077702,1.9885963891705416,1.9813935342286653,1.964411721874731,,,
ttHbb,312.2634270090423,312.2634270090423,278.0420807441895,247.91306569218486,241.45282290087226,84.3297984038547,56.7084126399327,54.18006615375441,46.38178820084423,40.085018104237434,,,
HWW,150.6196638895773,150.6196638895773,134.8178450012991,118.2406663980612,114.8878170701976,26.083032284695598,24.399667668270585,21.571617335916706,16.9641295761041,13.973802489835187,,,
Data,1414872.0,1414872.0,,,,252182.0,232402.0,220694.0,216722.0,213592.0,1283242.0,1192162.0,1159898.0
